Total,Has a computer,Has a computer With dial-up Internet subscription alone,Has a computer With a broadband Internet subscription,Has a computer Without an Internet subscription,Total No computer,id,Geographic Area Name
40864,37644,297,34628,2719,3220,55127,"Walworth County, Wisconsin"
55488,51865,210,49033,2622,3623,55131,"Washington County, Wisconsin"
158368,149379,370,144724,4285,8989,55133,"Waukesha County, Wisconsin"
71332,65375,177,61268,3930,5957,55139,"Winnebago County, Wisconsin"
32274,28624,214,26489,1921,3650,55141,"Wood County, Wisconsin"
39678,36384,0,34595,1789,3294,56021,"Laramie County, Wyoming"
32240,30362,101,26909,3352,1878,56025,"Natrona County, Wyoming"
30206,21164,164,18995,2005,9042,72013,"Arecibo Municipio, Puerto Rico"
64932,56009,152,49883,5974,8923,72021,"Bayamón Municipio, Puerto Rico"
47374,37853,466,35149,2238,9521,72025,"Caguas Municipio, Puerto Rico"
61313,50048,102,44977,4969,11265,72031,"Carolina Municipio, Puerto Rico"
27857,23102,0,20638,2464,4755,72061,"Guaynabo Municipio, Puerto Rico"
30909,24805,102,21370,3333,6104,72097,"Mayagüez Municipio, Puerto Rico"
53450,36068,147,32026,3895,17382,72113,"Ponce Municipio, Puerto Rico"
147267,91339,2024,74153,15162,55928,72127,"San Juan Municipio, Puerto Rico"
21511,18109,101,7257,10751,3402,72135,"Toa Alta Municipio, Puerto Rico"
26085,22944,103,11093,11748,3141,72137,"Toa Baja Municipio, Puerto Rico"
23195,19110,43,17772,1295,4085,72139,"Trujillo Alto Municipio, Puerto Rico"
