Total,Has a computer,Has a computer With dial-up Internet subscription alone,Has a computer With a broadband Internet subscription,Has a computer Without an Internet subscription,Total No computer,id,Geographic Area Name
113390,106790,144,99142,7504,6600,12073,"Leon County, Florida"
150814,142268,60,131214,10994,8546,12081,"Manatee County, Florida"
143441,127543,458,119117,7968,15898,12083,"Marion County, Florida"
63070,59088,263,55526,3299,3982,12085,"Martin County, Florida"
895801,837519,706,707253,129560,58282,12086,"Miami-Dade County, Florida"
31362,30369,28,27749,2592,993,12087,"Monroe County, Florida"
32624,31315,345,28730,2240,1309,12089,"Nassau County, Florida"
79570,75461,148,69189,6124,4109,12091,"Okaloosa County, Florida"
458157,436659,911,403975,31773,21498,12095,"Orange County, Florida"
102705,97741,44,87428,10269,4964,12097,"Osceola County, Florida"
552286,522553,1348,481594,39611,29733,12099,"Palm Beach County, Florida"
205128,186401,504,170476,15421,18727,12101,"Pasco County, Florida"
405892,370430,1007,336756,32667,35462,12103,"Pinellas County, Florida"
241171,216983,1157,174011,41815,24188,12105,"Polk County, Florida"
27927,24878,119,23060,1699,3049,12107,"Putnam County, Florida"
90109,85629,419,78321,6889,4480,12109,"St. Johns County, Florida"
118768,113599,46,105975,7578,5169,12111,"St. Lucie County, Florida"
63891,60536,111,57071,3354,3355,12113,"Santa Rosa County, Florida"
183721,171380,217,160015,11148,12341,12115,"Sarasota County, Florida"
179274,171687,182,157971,13534,7587,12117,"Seminole County, Florida"
62854,58614,295,55604,2715,4240,12119,"Sumter County, Florida"
218423,204073,448,178431,25194,14350,12127,"Volusia County, Florida"
28770,26716,291,25017,1408,2054,12131,"Walton County, Florida"
27525,25654,0,23905,1749,1871,13013,"Barrow County, Georgia"
35506,33497,0,27321,6176,2009,13015,"Bartow County, Georgia"
57905,50225,143,44744,5338,7680,13021,"Bibb County, Georgia"
27097,24349,0,21394,2955,2748,13031,"Bulloch County, Georgia"
41197,36367,53,33884,2430,4830,13045,"Carroll County, Georgia"
24722,22000,52,21131,817,2722,13047,"Catoosa County, Georgia"
107921,101090,79,95083,5928,6831,13051,"Chatham County, Georgia"
89974,87696,0,84871,2825,2278,13057,"Cherokee County, Georgia"
49698,46141,47,43062,3032,3557,13059,"Clarke County, Georgia"
96286,89596,431,73866,15299,6690,13063,"Clayton County, Georgia"
283094,276380,529,264117,11734,6714,13067,"Cobb County, Georgia"
47167,44082,0,40863,3219,3085,13073,"Columbia County, Georgia"
52114,48157,60,43765,4332,3957,13077,"Coweta County, Georgia"
