"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"375351","*****","0500000US18003","Allen County, Indiana"
"82753","*****","0500000US18005","Bartholomew County, Indiana"
"66999","*****","0500000US18011","Boone County, Indiana"
"117360","*****","0500000US18019","Clark County, Indiana"
"114772","*****","0500000US18035","Delaware County, Indiana"
"205560","*****","0500000US18039","Elkhart County, Indiana"
"77781","*****","0500000US18043","Floyd County, Indiana"
"65936","*****","0500000US18053","Grant County, Indiana"
"330086","*****","0500000US18057","Hamilton County, Indiana"
"76351","*****","0500000US18059","Hancock County, Indiana"
"167009","*****","0500000US18063","Hendricks County, Indiana"
"82366","*****","0500000US18067","Howard County, Indiana"
"156225","*****","0500000US18081","Johnson County, Indiana"
"79344","*****","0500000US18085","Kosciusko County, Indiana"
"484411","*****","0500000US18089","Lake County, Indiana"
"110007","*****","0500000US18091","LaPorte County, Indiana"
"129641","*****","0500000US18095","Madison County, Indiana"
"954670","*****","0500000US18097","Marion County, Indiana"
"146917","*****","0500000US18105","Monroe County, Indiana"
"70116","*****","0500000US18109","Morgan County, Indiana"
"169594","*****","0500000US18127","Porter County, Indiana"
"270771","*****","0500000US18141","St. Joseph County, Indiana"
"193048","*****","0500000US18157","Tippecanoe County, Indiana"
"180974","*****","0500000US18163","Vanderburgh County, Indiana"
"107386","*****","0500000US18167","Vigo County, Indiana"
"65936","*****","0500000US18177","Wayne County, Indiana"
"132408","*****","0500000US19013","Black Hawk County, Iowa"
"90180","*****","0500000US19049","Dallas County, Iowa"
"96854","*****","0500000US19061","Dubuque County, Iowa"
"151260","*****","0500000US19103","Johnson County, Iowa"
"225909","*****","0500000US19113","Linn County, Iowa"
"487204","*****","0500000US19153","Polk County, Iowa"
"93533","*****","0500000US19155","Pottawattamie County, Iowa"
"173283","*****","0500000US19163","Scott County, Iowa"
"98105","*****","0500000US19169","Story County, Iowa"
"102539","*****","0500000US19193","Woodbury County, Iowa"
"66765","*****","0500000US20015","Butler County, Kansas"
"121436","*****","0500000US20045","Douglas County, Kansas"
"597555","*****","0500000US20091","Johnson County, Kansas"
"81352","*****","0500000US20103","Leavenworth County, Kansas"
"73703","*****","0500000US20161","Riley County, Kansas"
"513607","*****","0500000US20173","Sedgwick County, Kansas"
"177499","*****","0500000US20177","Shawnee County, Kansas"
"165324","*****","0500000US20209","Wyandotte County, Kansas"
"131533","*****","0500000US21015","Boone County, Kentucky"
"81069","*****","0500000US21029","Bullitt County, Kentucky"
"93152","*****","0500000US21037","Campbell County, Kentucky"
"71671","*****","0500000US21047","Christian County, Kentucky"
"101104","*****","0500000US21059","Daviess County, Kentucky"
"323780","*****","0500000US21067","Fayette County, Kentucky"
"110356","*****","0500000US21093","Hardin County, Kentucky"
"770517","*****","0500000US21111","Jefferson County, Kentucky"
"166051","*****","0500000US21117","Kenton County, Kentucky"
"65346","*****","0500000US21145","McCracken County, Kentucky"
"92368","*****","0500000US21151","Madison County, Kentucky"
"66470","*****","0500000US21185","Oldham County, Kentucky"
"131264","*****","0500000US21227","Warren County, Kentucky"
"124672","*****","0500000US22005","Ascension Parish, Louisiana"
"127185","*****","0500000US22015","Bossier Parish, Louisiana"
"242922","*****","0500000US22017","Caddo Parish, Louisiana"
"203112","*****","0500000US22019","Calcasieu Parish, Louisiana"
