"B17026_001E","B17026_001M","B17026_002E","B17026_002M","B17026_003E","B17026_003M","B17026_004E","B17026_004M","B17026_005E","B17026_005M","B17026_006E","B17026_006M","B17026_007E","B17026_007M","B17026_008E","B17026_008M","B17026_009E","B17026_009M","B17026_010E","B17026_010M","B17026_011E","B17026_011M","B17026_012E","B17026_012M","B17026_013E","B17026_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under .50","Margin of Error!!Total!!Under .50","Estimate!!Total!!.50 to .74","Margin of Error!!Total!!.50 to .74","Estimate!!Total!!.75 to .99","Margin of Error!!Total!!.75 to .99","Estimate!!Total!!1.00 to 1.24","Margin of Error!!Total!!1.00 to 1.24","Estimate!!Total!!1.25 to 1.49","Margin of Error!!Total!!1.25 to 1.49","Estimate!!Total!!1.50 to 1.74","Margin of Error!!Total!!1.50 to 1.74","Estimate!!Total!!1.75 to 1.84","Margin of Error!!Total!!1.75 to 1.84","Estimate!!Total!!1.85 to 1.99","Margin of Error!!Total!!1.85 to 1.99","Estimate!!Total!!2.00 to 2.99","Margin of Error!!Total!!2.00 to 2.99","Estimate!!Total!!3.00 to 3.99","Margin of Error!!Total!!3.00 to 3.99","Estimate!!Total!!4.00 to 4.99","Margin of Error!!Total!!4.00 to 4.99","Estimate!!Total!!5.00 and over","Margin of Error!!Total!!5.00 and over","id","Geographic Area Name"
"57977","2466","4251","854","1240","544","3849","1088","3031","965","3277","1006","2508","737","1006","522","1374","704","12293","1985","8000","1405","3762","956","13386","1671","0500000US06047","Merced County, California"
"92949","2588","2381","971","3011","928","4412","1369","3415","1058","3218","899","4528","1085","1271","522","2174","779","17246","2416","13081","1762","9124","1667","29088","2209","0500000US06053","Monterey County, California"
"33064","1702","539","281","652","430","1005","508","869","497","553","354","1590","673","754","569","736","591","3792","926","3607","806","2783","636","16184","1309","0500000US06055","Napa County, California"
"25779","1911","531","463","470","414","317","438","777","598","829","480","589","442","570","406","275","214","3503","855","3061","886","2443","792","12414","1599","0500000US06057","Nevada County, California"
"735186","7275","24678","3219","12936","2121","15811","1803","22257","2405","21348","2541","25084","3287","8091","1736","12250","1757","85736","4502","80213","4870","72934","4625","353848","7031","0500000US06059","Orange County, California"
"99968","3013","2691","1051","1334","683","1683","675","1398","550","1516","747","3115","839","1227","566","1786","520","11134","1890","11686","1628","10144","1422","52254","2843","0500000US06061","Placer County, California"
"524194","7328","18653","2511","11914","1863","18825","2089","22513","2826","18335","2206","20858","2779","11923","1793","13664","2244","86342","4466","77732","4222","56906","3841","166529","5261","0500000US06065","Riverside County, California"
"359266","6923","15718","2296","8963","1395","11671","1859","13330","1772","14394","1982","14806","1982","5558","1378","6941","1379","47727","3928","46751","3132","40331","2890","133076","5549","0500000US06067","Sacramento County, California"
"486914","7003","24225","3027","14526","1977","18439","2558","23374","2638","23747","2530","21303","2662","10895","1886","12172","1785","84791","5073","68740","4172","51286","3603","133416","5332","0500000US06071","San Bernardino County, California"
"761247","9445","24704","3056","13425","1951","19188","2488","26797","3043","25002","2289","27839","2918","11073","2048","14605","1918","101841","5538","91966","4836","77212","4591","327595","7628","0500000US06073","San Diego County, California"
"178643","5676","4141","1316","2229","747","2744","889","5943","1527","4154","1463","3619","970","1471","616","2413","838","16912","2696","14857","2024","12896","1900","107264","4839","0500000US06075","San Francisco County, California"
"174492","3004","7737","1399","5008","1154","7693","1535","9694","1949","7645","1520","6815","1227","3858","1151","4790","1388","30183","3015","22974","2732","20110","2150","47985","2647","0500000US06077","San Joaquin County, California"
"67284","2725","2502","953","1048","598","1304","721","1344","588","1205","579","2431","1044","826","630","1618","811","9340","1487","7515","1543","7197","1418","30954","2434","0500000US06079","San Luis Obispo County, California"
"182198","4641","3063","752","1927","775","3048","1009","3103","967","3859","1173","2783","985","1592","793","1928","761","12599","2304","15216","2248","16158","2312","116922","3875","0500000US06081","San Mateo County, California"
"100497","3072","2362","886","2240","917","2429","724","4502","1271","3702","1058","4075","1008","2311","901","2281","783","15183","2148","10510","1563","10397","1817","40505","3000","0500000US06083","Santa Barbara County, California"
"461799","6200","7504","1579","5409","1417","5849","1346","10551","1987","8826","1950","7249","1369","3744","1030","5397","1323","40137","3297","38828","2772","37229","3331","291076","6229","0500000US06085","Santa Clara County, California"
"62397","2460","1740","721","799","455","1886","870","985","539","1715","886","2761","1178","1032","623","1491","922","5406","1309","6810","1435","4191","1091","33581","2438","0500000US06087","Santa Cruz County, California"
"45982","2021","2057","768","925","620","1400","614","1814","776","1381","510","1597","594","1303","547","1001","453","8557","1312","6941","1014","4417","945","14589","1491","0500000US06089","Shasta County, California"
"108587","3326","2714","959","1350","497","1740","591","3074","885","3289","1038","1634","456","1910","777","2327","895","16509","2005","13603","1698","12176","1744","48261","2769","0500000US06095","Solano County, California"
"118022","4189","3931","1252","923","545","1580","612","3223","1115","3404","1055","2720","927","1291","526","1941","857","13240","1895","14123","1751","13061","2174","58585","3231","0500000US06097","Sonoma County, California"
"128261","3373","5437","1157","3577","1134","6138","1251","6242","1412","6340","1423","7854","1754","3064","971","2648","860","23294","2180","17753","2366","12007","1897","33907","2540","0500000US06099","Stanislaus County, California"
"23427","1375","825","438","682","476","1146","647","944","582","885","361","1026","483","263","316","909","474","4397","880","3594","908","2668","698","6088","965","0500000US06101","Sutter County, California"
"103190","2602","7739","1255","5361","1137","5277","1251","7157","1398","6148","1410","5112","1131","2496","947","2301","806","17685","2237","12605","1801","9410","1588","21899","2539","0500000US06107","Tulare County, California"
"194306","4771","4545","1172","3488","980","3871","966","7389","1522","5148","1172","8085","1542","2084","893","3624","1086","25877","2113","24528","2790","20790","2127","84877","2820","0500000US06111","Ventura County, California"
"46437","2229","2441","916","882","545","1920","836","1453","721","1582","735","1192","546","279","252","859","497","6086","1554","5345","1110","5617","1179","18781","1476","0500000US06113","Yolo County, California"
"17889","1469","887","358","468","335","577","421","1192","667","635","352","904","500","284","218","310","250","4506","1127","2617","1020","1375","556","4134","949","0500000US06115","Yuba County, California"
"118115","3159","3898","950","1255","567","2500","864","4023","1264","5477","1224","4427","1013","2650","1015","1667","752","20848","2357","17538","2199","16448","1689","37384","2513","0500000US08001","Adams County, Colorado"
"158118","3306","4063","1027","2093","831","2772","758","3150","1066","4580","1437","4566","1179","2397","703","4339","1104","20291","2289","19316","1833","18371","1608","72180","2988","0500000US08005","Arapahoe County, Colorado"
"74769","2289","1055","603","883","480","1090","504","1622","661","1296","694","958","393","733","400","1252","615","6883","1032","8404","1468","8370","1475","42223","2336","0500000US08013","Boulder County, Colorado"
"18556","1199","160","191","439","437","156","230","94","95","769","390","344","286","42","69","113","115","1367","728","1734","740","1875","604","11463","1216","0500000US08014","Broomfield County, Colorado"
"145101","4267","4750","1307","3795","1161","3170","1225","3922","977","5638","1505","5922","1206","2382","957","3090","1137","17528","2288","16213","2176","14825","2571","63866","3637","0500000US08031","Denver County, Colorado"
"95944","2308","699","381","342","282","228","232","591","354","423","323","1173","516","447","289","825","398","7700","1393","8447","1313","10845","1616","64224","2627","0500000US08035","Douglas County, Colorado"
"176041","4138","4916","1322","3781","1166","3351","918","5628","1417","4980","1199","6334","1506","3013","800","3331","1020","29232","2809","26631","2477","21138","2370","63706","3304","0500000US08041","El Paso County, Colorado"
"148258","3403","2219","791","1160","520","1833","872","2068","831","3012","1013","3309","1015","947","433","2628","933","14741","1601","17284","2025","18228","1976","80829","3386","0500000US08059","Jefferson County, Colorado"
"85701","2618","2431","1024","824","392","1379","657","1205","433","1530","529","2007","853","1281","500","1125","509","12381","1896","11886","1601","11993","1704","37659","2449","0500000US08069","Larimer County, Colorado"
"37310","1911","2082","1274","1496","850","642","414","1272","718","1957","831","1084","391","506","376","788","459","6228","1409","7402","1624","3491","894","10362","1665","0500000US08077","Mesa County, Colorado"
"41603","2047","2001","768","1497","541","2315","877","1797","660","1766","580","2584","778","511","282","1722","729","7761","1338","5221","998","4991","1145","9437","1308","0500000US08101","Pueblo County, Colorado"
"77930","2334","2885","894","2000","739","1292","515","2206","834","2158","599","1912","582","608","374","1327","487","10739","1462","13616","1712","9698","1271","29489","2209","0500000US08123","Weld County, Colorado"
"237407","5002","6294","1101","4785","1218","5352","1286","5542","1464","5939","1273","5963","1390","2455","787","4029","1125","25214","2487","22561","2197","17730","2006","131543","3850","0500000US09001","Fairfield County, Connecticut"
"223589","4734","6417","1403","4549","1222","5244","1358","7507","1480","7346","1621","7529","1412","2867","835","3521","924","24076","2468","24889","2289","23552","2211","106092","3576","0500000US09003","Hartford County, Connecticut"
"46847","2140","463","321","385","310","843","446","515","265","1560","671","1580","570","416","228","878","386","5506","1097","5634","974","5699","1024","23368","1702","0500000US09005","Litchfield County, Connecticut"
"41772","2336","763","410","478","406","459","339","349","283","923","610","668","471","277","400","582","487","4443","1027","4423","1144","4950","864","23457","1834","0500000US09007","Middlesex County, Connecticut"
"207727","4994","7322","1418","5667","1377","5026","1209","5158","1337","6000","1215","6777","1402","2336","847","3443","1069","26248","2785","24806","2223","22595","2765","92349","3855","0500000US09009","New Haven County, Connecticut"
"69117","2923","1872","758","1170","497","1444","726","979","459","1475","670","2159","722","830","479","1320","796","9583","1831","8878","1438","9221","1534","30186","2205","0500000US09011","New London County, Connecticut"
"35882","2368","337","256","645","558","437","401","853","608","545","458","210","222","504","364","78","134","2395","681","2939","821","3778","919","23161","2190","0500000US09013","Tolland County, Connecticut"
"29594","1979","1113","799","663","395","1235","702","635","399","332","258","961","529","193","200","933","566","4446","1122","4115","927","4281","1007","10687","1359","0500000US09015","Windham County, Connecticut"
"44907","2449","2138","1017","1238","586","1672","623","2018","837","1491","660","2944","1208","996","549","998","509","6455","1466","5441","1232","5939","1404","13577","1724","0500000US10001","Kent County, Delaware"
"131524","3668","4223","1081","2292","687","3423","1135","3313","963","3032","1006","3630","1053","1568","722","2386","875","17832","2270","16870","1800","18068","2296","54887","2762","0500000US10003","New Castle County, Delaware"
"61968","3318","1263","473","1758","662","2019","933","1496","648","1607","671","2407","723","969","439","1305","561","10176","1355","8889","1460","8306","1500","21773","1723","0500000US10005","Sussex County, Delaware"
"121529","3987","7531","1494","3592","1131","2638","888","4559","1384","2701","1082","2682","1057","1448","628","1754","710","10392","1953","8861","1441","7348","1433","68023","3151","0500000US11001","District of Columbia, District of Columbia"
"49488","2998","2330","982","760","396","1291","623","945","403","1118","512","1416","803","1216","575","1299","595","6406","1203","7167","1601","6546","1243","18994","1919","0500000US12001","Alachua County, Florida"
"49233","2413","1720","827","1640","931","1107","555","1385","672","1790","541","2762","897","890","593","2142","1095","10424","2075","6545","1344","5741","1260","13087","1763","0500000US12005","Bay County, Florida"
"140955","4900","4318","1325","2215","1049","3905","1123","4331","945","4912","1073","4884","1449","2322","980","3098","905","22786","2630","19726","2169","17579","2386","50879","3909","0500000US12009","Brevard County, Florida"
"439980","9232","15338","2390","11892","2049","13539","2476","15644","2550","14120","2040","20144","2829","10067","1766","10459","2089","81494","4929","61629","4381","47729","3497","137925","5191","0500000US12011","Broward County, Florida"
"47734","2848","1221","598","1059","711","961","504","1664","665","987","521","1837","666","552","325","651","397","8783","1407","9412","1547","5290","1271","15317","1452","0500000US12015","Charlotte County, Florida"
"36112","2836","1777","904","1313","770","1155","608","1555","773","1507","645","2177","813","591","458","912","485","7066","1425","6610","1397","4420","1027","7029","1502","0500000US12017","Citrus County, Florida"
"58071","3052","2126","962","769","397","1654","840","2432","1078","3035","1149","3171","1154","717","521","1028","704","9825","1925","10798","1949","7218","1580","15298","2436","0500000US12019","Clay County, Florida"
"97654","4098","2519","1137","2278","964","1782","721","3737","1229","3643","1409","3783","1328","1634","651","1090","530","13158","2128","11814","1848","7869","1455","44347","3061","0500000US12021","Collier County, Florida"
"15657","1358","587","349","505","368","101","113","842","558","868","559","580","410","196","147","585","359","2501","797","2212","725","2858","911","3822","1049","0500000US12023","Columbia County, Florida"
