id,total,dialup,broadband,no_internet
26161,143072,34,130433,6939
26163,687546,1279,535280,78749
27003,128140,610,116417,4403
27013,26362,31,23272,1396
27019,36925,28,33668,1588
27037,162496,220,149581,6042
27053,508964,1005,447202,33936
27109,63462,306,54907,4067
27123,209287,837,182473,11180
27131,23358,49,19884,1038
27137,84370,544,67717,5953
27139,50040,77,46335,1732
27141,32033,213,29351,1121
27145,58510,243,48917,4603
27163,96387,356,88123,2697
27171,48863,134,43026,1611
28033,63075,59,56621,2898
28035,27248,0,20589,2557
28047,82375,205,68299,7179
28049,85483,74,68908,7352
28059,51659,371,42788,4296
28067,25098,6,15548,7080
28075,29993,81,24034,1854
28081,32527,55,24502,3736
28089,40229,0,37350,1254
28121,55483,125,45690,5649
29019,72217,305,60408,8390
29021,33621,139,28026,2610
29031,28675,92,24529,1532
29037,40197,14,34798,2919
29043,31421,129,26040,2708
29047,91901,64,81714,5937
29051,29593,104,21305,6333
29071,40387,147,33596,2969
29077,128691,291,94711,16788
29095,288752,320,240927,25757
29097,47846,224,39129,3064
29099,85892,51,75998,5292
29165,40086,109,37018,1697
29183,149951,128,138007,4953
29187,25670,61,20904,869
29189,408117,351,361065,17551
29510,144295,33,109679,15973
30013,35558,151,28264,2463
30029,38372,419,32482,1975
30031,44423,0,39313,2769
30049,27842,0,23243,1674
30063,50401,60,45992,1871
30111,66805,269,55357,5074
31055,220858,460,192783,11240
31109,125917,311,111827,6438
31153,66273,218,60577,2510
32003,808605,1956,685174,68833
32031,185709,297,162707,13050
33005,30208,262,25510,1380
33009,35394,184,28726,3666
33011,161649,794,145303,6832
33013,58521,503,52251,2343
33015,119467,233,110152,4176
33017,48393,0,41423,3721
34001,96981,219,83929,6729
34003,339953,660,304655,12981
34005,166698,694,147919,7882
34007,188840,480,159891,12520
34009,39208,0,34144,2323
34011,50034,262,40994,3361
34013,289921,472,241865,23993
34015,101414,140,91575,3425
34017,263924,364,230930,15105
34019,47733,188,44005,1322
34021,132980,182,112661,11685
34023,285480,564,253974,14463
34025,236327,531,210742,10590
34027,181738,283,167392,4506
34029,228622,827,188044,16669
34031,169521,75,142680,13860
34033,23952,29,20220,1793
34035,118729,204,110980,3434
34037,53749,142,49712,1405
34039,192021,363,163249,10857
34041,41742,62,35674,2001
35001,270655,649,219773,29826
35005,22616,203,16088,3085
35013,80409,175,54923,15114
35025,23215,0,18652,2405
35031,21449,519,9456,3623
35035,23747,148,19282,2410
35043,53996,285,44985,3219
35045,43707,155,31089,5752
35049,62707,214,51018,3887
35061,28379,38,21123,3842
36001,126578,498,107180,7070
36005,507370,1002,389784,59198
36007,75539,176,63864,4719
36009,32079,61,24076,2662
36011,30083,89,24363,2354
36013,53429,421,41739,4291
36015,34325,45,27975,2436
36019,31392,146,26575,2119
36027,108071,219,95448,5611
36029,390341,1159,326751,21954
36045,44657,92,37712,2981
36047,969317,1015,790232,71742
36051,23746,102,20381,1377
36053,26127,42,22398,1162
36055,301668,1147,258843,15780
36059,447123,515,403884,17471
36061,752258,668,651863,43330
36063,89765,458,72431,6467
36065,88871,152,74875,4319
36067,185046,291,146259,16943
36069,44079,40,38537,2115
36071,128259,222,107403,8593
36075,46270,458,38780,2152
36079,35425,0,32386,1131
36081,788110,935,671403,55436
36083,64614,504,56808,2749
36085,167441,272,138554,14866
36087,99502,163,84365,3949
36089,41680,157,33319,2556
36091,94156,200,84010,4469
36093,55262,52,46514,3866
36101,40578,182,32423,2985
36103,496784,848,446551,20457
36105,28900,154,23324,2152
36109,40250,90,34835,3558
36111,69154,393,60576,3627
36113,28007,64,22270,2013
36117,35927,76,29922,1972
36119,352498,399,308215,19201
37001,64700,104,50922,6352
37019,56752,17,51868,1718
37021,108411,147,89428,6452
37023,36157,137,26489,5235
37025,73751,203,67089,2850
37027,31544,37,25295,1961
37031,28720,61,25165,1527
37035,62861,201,52316,4090
37037,28343,81,22385,3408
37045,34574,118,22583,5704
37049,40412,45,34705,2736
37051,127911,214,110599,6787
37057,68761,159,54408,6551
37063,127527,66,113793,7811
37067,150437,316,120350,17587
37069,26380,204,21835,1300
37071,84999,197,69899,5790
37081,209842,258,170171,18930
37085,46015,92,36604,5806
37089,49514,120,41771,2875
37097,68328,133,58820,3758
37101,70001,253,53951,9823
37109,34233,98,30461,1327
37119,418135,297,376393,23661
37125,40756,272,34469,1860
37127,37767,157,30468,2917
37129,98151,160,85113,7745
37133,66834,162,60712,3520
37135,53959,164,46905,3562
37147,69288,0,56980,5275
37151,54783,212,43606,6019
37155,46026,122,30065,8681
37157,37476,72,24796,3618
37159,53806,103,43499,3444
37161,26305,88,19054,2992
37171,29230,209,17207,6108
37179,77696,57,71702,2219
37183,408473,52,375788,20198
37191,49019,54,39408,3262
37193,30123,64,23107,2720
37195,31817,101,23778,2749
38015,40736,198,33302,4229
38017,74343,9,63085,6372
38035,30916,0,24318,3828
38101,27887,64,22659,2204
39003,41204,32,34687,2236
39007,35445,359,27208,2047
39009,22533,0,17974,1991
39013,24742,90,18092,1935
39017,143040,303,124478,7849
39023,55327,224,47401,2659
39025,77920,388,67891,3936
39029,41884,173,33758,2401
39035,542122,1982,439928,42886
39041,70501,299,67402,1377
39043,31675,301,24292,4195
39045,55934,191,46951,4414
39049,519468,541,454906,32474
39055,35387,95,29326,2112
39057,66053,0,58193,2812
39061,344562,915,296562,17098
39063,31606,160,27628,1488
39081,27292,31,20773,1207
39085,96577,287,84384,5619
39089,62237,152,53992,3154
39093,121344,670,97161,15317
39095,178289,332,148043,13358
39099,97365,273,79947,5806
39101,24205,7,19398,2543
39103,70609,113,61580,5022
39109,41148,253,35426,1541
39113,224225,397,190654,12487
39119,34471,13,27610,2722
39133,60801,98,50763,4974
39139,48105,233,38061,2334
39141,29779,0,23322,2917
39145,28719,46,22976,2165
39151,152210,143,126883,9536
39153,226243,775,193666,11483
39155,83303,146,66889,5765
39157,36740,137,28876,3268
39165,83540,68,77296,3227
39169,43908,255,35281,2130
39173,50694,168,43265,4357
40017,45344,55,41170,1559
40027,110775,288,96380,8217
40031,42489,54,37090,2224
40037,26957,74,21086,3007
40101,26566,90,19229,3526
40109,302645,538,255036,22409
40119,30734,84,25266,3487
40125,26714,165,21503,2062
40131,35254,121,29061,4117
40143,250492,462,215279,17054
40145,30186,63,26636,1657
41003,35520,94,32898,1180
41005,158749,499,140697,9977
41017,79950,182,70278,6351
41019,45647,481,37877,2954
41029,89787,674,76816,7734
41033,37059,214,29715,4508
41035,26798,48,22135,2362
41039,156072,588,138334,8930
41043,48464,257,41255,3600
41047,119511,743,102302,10459
41051,330223,406,296156,17431
41053,31218,146,28343,1458
41059,26048,49,21109,2367
41067,225955,546,208240,10575
41071,37235,185,30944,3069
42001,39570,613,33163,1662
42003,543369,712,467534,24502
42005,27332,192,21200,1913
42007,73059,321,60394,4435
42011,157006,808,129236,10791
42013,51096,52,41176,3335
42017,239962,395,214718,9313
42019,77764,390,66371,3148
42021,56483,223,43357,3694
42025,25177,27,20603,1582
42027,58514,374,49169,4478
42029,192746,535,172836,8220
42033,31992,260,24729,2629
42037,26655,192,20825,2087
42039,34386,344,28073,2117
42041,102243,460,87872,5310
42043,112559,472,92363,7514
42045,207499,320,181703,10312
42049,109797,1024,91253,6949
42051,56085,267,42748,3562
42055,59834,615,47604,4368
42063,33098,203,25832,2131
42069,88268,778,72793,4483
42071,202490,983,162737,14864
42073,37497,114,30908,2116
42075,54522,307,46606,1457
42077,138586,386,117228,8136
42079,128301,1072,103496,7014
42081,44585,379,36172,3017
42085,46809,291,37357,2384
42089,55109,308,47731,3103
42091,313336,403,285425,11450
42095,114996,203,96115,7358
42097,38816,215,29961,2126
42101,608233,1145,478499,55911
42107,58458,127,44554,4135
42111,28796,151,21081,2106
42125,85835,588,71892,3989
42129,150368,675,124986,8459
42133,173958,952,144360,12565
44003,69115,70,58644,3936
44005,34316,193,29963,1580
44007,237038,289,193249,14096
44009,47680,65,44133,1226
45003,68609,278,56142,5321
45007,78500,84,63202,7510
45013,74679,39,66885,4167
45015,78168,79,64857,7868
45019,160457,236,133287,17561
45031,25308,92,15596,4084
45035,55799,7,48338,5230
45041,50518,77,36158,7918
45045,192556,400,165260,10924
45047,27962,124,20859,2549
45051,131180,763,109307,12314
45055,24756,0,21068,1446
45057,35710,260,30077,2479
45059,25423,37,18699,2120
45063,115566,24,99979,6200
45073,31612,48,23196,3582
45075,33561,183,23930,4393
45077,48185,286,37553,5109
45079,152227,0,128733,15253
45083,116018,327,93689,9482
45085,40396,46,31707,3599
45091,100623,46,88906,5623
46099,76630,0,65721,5647
46103,44794,10,37097,3866
47001,29505,124,24865,1840
47009,51446,166,41782,4366
47011,39104,266,31809,2627
47037,283445,187,253171,13356
47059,27316,0,21332,2514
47065,146057,167,124129,8292
47093,185416,95,155426,14483
47113,39223,0,32866,2620
47119,34361,53,28962,2455
47125,72973,329,66103,3447
47141,33388,0,27272,3132
47147,26375,54,22698,1485
47149,115376,185,103156,6634
47155,36861,91,29896,3064
47157,352648,1194,266303,31832
47163,64504,56,51466,5283
47165,68439,0,60564,3150
47179,54433,149,44183,4651
47187,80601,0,76653,1782
47189,52489,10,44710,4502
48005,29898,21,25751,1533
48021,25334,0,21117,1499
48027,123188,169,106185,7580
48029,644193,461,531028,68335
48037,35228,13,25540,3209
48039,120802,35,107879,4807
48041,81030,0,67839,9742
48061,124812,39,68239,35195
48085,344824,482,322837,15918
48091,53182,172,47521,2330
48099,21491,22,18120,1274
48113,937438,954,768840,88022
48121,297899,114,278643,12840
48135,54326,0,44882,5408
48139,58633,120,53873,2557
48141,270160,463,211900,30490
48157,245410,535,227570,10305
48167,121976,880,105769,7267
48181,48963,156,34328,10754
48183,45513,0,37492,3638
48187,54789,103,48377,2769
48201,1600357,1724,1373187,119413
48203,22928,0,14703,5201
48209,75164,0,66294,5883
48213,30843,0,24659,1945
48215,237323,240,159621,39461
48231,34132,53,27967,3588
48245,90839,83,70083,11354
48251,59180,142,52910,2901
48257,39049,0,31370,4145
48291,27468,0,21422,1859
48303,115686,111,93963,13342
48309,92158,303,73029,8217
48329,57636,0,49309,5047
48339,202797,162,185554,9936
48347,23442,15,18401,2084
48355,129987,216,108097,8440
48361,30047,0,25591,1384
48367,46238,0,39145,4744
48375,45550,0,34787,6211
48381,49457,44,44903,2664
48397,34590,0,33197,728
48409,22202,0,16756,2373
48423,77330,22,65461,7421
48439,722473,893,651809,40555
48441,49811,0,41157,4586
48451,43301,40,34185,5538
48453,486548,580,443066,27508
48469,31918,0,22035,5302
48471,22693,74,18715,1880
48479,75300,89,53106,11475
48485,46757,232,37449,4635
48491,185345,217,172745,7757
48497,22864,9,18619,2868
49005,39224,0,34836,3093
49011,104462,239,96774,5228
49035,381831,1059,344570,21756
49045,20411,112,18512,802
49049,171117,324,153274,14467
49053,59863,182,53047,3973
49057,85615,195,77091,4179
50007,66095,90,56053,6315
51003,41956,171,37067,2632
51013,109940,438,99900,4298
51015,29783,94,22889,3324
51019,31271,448,25966,1979
51041,126748,180,115873,4532
51059,396628,320,377254,8936
51061,25134,75,23194,761
51069,31551,39,26757,1904
51085,39929,71,35096,2275
51087,129408,360,114521,6079
51095,29849,157,24564,4071
51107,133417,238,126973,3332
51121,34585,0,30085,1835
51153,143861,107,137529,2956
51161,38061,193,31662,2868
51165,31462,123,24798,2986
51177,45223,138,40952,2559
51179,48418,133,46197,1056
51199,24996,0,21465,1946
51510,71740,0,65929,1699
51550,86122,0,78621,3009
51650,54800,137,42125,7559
51680,28500,84,23660,1776
51700,71291,179,45038,19658
51710,89338,210,75564,6965
51740,34578,177,28469,2622
51760,91359,34,71111,10976
51770,41353,28,30224,4444
51800,34890,56,28164,3395
51810,172183,70,156919,8053
53005,71921,249,61743,5792
53007,31587,0,26282,3097
53009,33265,203,29011,736
53011,178980,739,163346,6668
53015,43279,45,35953,3446
53021,27067,29,24517,1208
53025,30806,43,26623,1424
53027,27674,85,23042,1890
53029,34572,244,31322,1273
53033,897476,1569,824588,34892
53035,105411,449,96965,3430
53041,30327,94,25829,1915
53045,25864,28,22812,1209
53053,328519,498,290968,20539
53057,48474,152,43293,2171
53061,300215,422,277806,11780
53063,206191,301,183332,9202
53067,110713,359,97646,5982
53073,87080,61,75443,6138
53077,83320,307,69122,6542
54003,45800,100,37759,4064
54011,38024,148,29796,3932
54033,26878,0,20687,2893
54039,78482,254,61482,7673
54061,40603,177,36205,2009
54081,31169,97,22303,3271
54107,36064,204,28228,2974
55009,104470,542,89090,5906
55025,226350,1363,200875,13512
55027,35221,127,30062,1413
55035,40421,109,35630,1855
55039,41009,129,33418,2271
55055,33180,183,28310,2252
55059,62950,158,55043,2806
55063,47924,296,40767,2922
55071,35259,75,29359,1850
55073,56245,644,46579,3231
55079,384281,919,303335,31452
55087,74603,164,65088,3850
55089,36261,146,32017,1638
55097,29193,42,25205,1317
55101,76808,216,66216,4522
55105,64632,411,54164,3740
55109,34422,205,29498,2132
55117,46308,57,39882,1942
55127,40864,297,34628,2719
55131,55488,210,49033,2622
55133,158368,370,144724,4285
55139,71332,177,61268,3930
55141,32274,214,26489,1921
56021,39678,0,34595,1789
56025,32240,101,26909,3352
72013,30206,164,18995,2005
72021,64932,152,49883,5974
72025,47374,466,35149,2238
72031,61313,102,44977,4969
72061,27857,0,20638,2464
72097,30909,102,21370,3333
72113,53450,147,32026,3895
72127,147267,2024,74153,15162
72135,21511,101,7257,10751
72137,26085,103,11093,11748
72139,23195,43,17772,1295
