Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,id,Geographic Area Name
72862,65456,50913,2237,60732,9294,41058,585,1585,0,7406,13215,"Muscogee County, Georgia"
38436,37405,33077,1093,35271,2462,27728,420,577,0,1031,13217,"Newton County, Georgia"
53630,51104,45237,899,49352,4383,38992,62,2121,0,2526,13223,"Paulding County, Georgia"
70534,62122,45925,2544,57371,11021,38741,754,3561,0,8412,13245,"Richmond County, Georgia"
31460,30252,25220,752,28531,2977,19938,75,1131,0,1208,13247,"Rockdale County, Georgia"
25659,22671,17625,968,20934,3770,12561,429,93,0,2988,13255,"Spalding County, Georgia"
25417,22573,15758,1279,20659,4349,12945,217,521,80,2844,13285,"Troup County, Georgia"
26895,23224,18915,1267,20500,2884,15977,407,442,0,3671,13295,"Walker County, Georgia"
32624,29843,25057,1074,28252,2804,22628,176,502,0,2781,13297,"Walton County, Georgia"
36658,31640,24093,1691,29084,5244,17013,373,3154,0,5018,13313,"Whitfield County, Georgia"
71565,61539,50087,5046,53632,5341,42033,1090,1197,0,10026,15001,"Hawaii County, Hawaii"
308208,286338,249837,9036,269251,19891,213039,2560,7868,155,21870,15003,"Honolulu County, Hawaii"
22685,20378,17744,1033,18783,1326,13589,434,350,0,2307,15007,"Kauai County, Hawaii"
52794,48777,41433,1509,45748,4603,33571,740,1338,0,4017,15009,"Maui County, Hawaii"
178712,172131,160425,6932,160241,4985,128804,2054,8632,0,6581,16001,"Ada County, Idaho"
30635,28781,24317,1300,26564,2638,19999,204,1181,39,1854,16005,"Bannock County, Idaho"
40224,38175,32633,1384,35809,2552,29152,300,800,0,2049,16019,"Bonneville County, Idaho"
74520,70667,59782,3656,64197,5531,51562,695,1646,0,3853,16027,"Canyon County, Idaho"
64955,59065,50074,2897,54274,5378,40383,690,1367,78,5890,16055,"Kootenai County, Idaho"
32041,29162,24127,756,26303,3216,19239,525,446,0,2879,16083,"Twin Falls County, Idaho"
26397,23013,19217,1349,20582,1865,15529,517,613,75,3384,17001,"Adams County, Illinois"
84290,78733,68871,3231,73163,5074,54108,1038,1665,0,5557,17019,"Champaign County, Illinois"
1981796,1807902,1525026,63845,1693495,183608,1201232,14344,66980,595,173894,17031,"Cook County, Illinois"
38849,37110,32817,1041,34495,2721,26954,438,740,0,1739,17037,"DeKalb County, Illinois"
345714,328790,299943,10789,308355,15008,255945,2191,10129,0,16924,17043,"DuPage County, Illinois"
183633,172564,149458,6927,161409,14315,124815,969,3915,155,11069,17089,"Kane County, Illinois"
40642,36080,29621,2203,32295,3613,24732,706,176,0,4562,17091,"Kankakee County, Illinois"
40716,39158,36472,974,37275,1582,32910,213,869,0,1558,17093,"Kendall County, Illinois"
246620,234195,209691,10185,218789,13013,180100,1345,6640,0,12425,17097,"Lake County, Illinois"
44714,40209,31234,1820,37140,5618,25608,405,638,0,4505,17099,"LaSalle County, Illinois"
114544,109953,97825,4474,101567,4782,86256,1188,2429,0,4591,17111,"McHenry County, Illinois"
65998,62986,56430,1884,59641,4178,45262,349,1326,0,3012,17113,"McLean County, Illinois"
44562,39157,31124,2545,35318,4944,24448,422,1602,0,5405,17115,"Macon County, Illinois"
108977,99224,84137,6470,88599,8190,68900,1085,2706,144,9753,17119,"Madison County, Illinois"
71506,64925,51696,2156,60531,9581,41118,487,1386,0,6581,17143,"Peoria County, Illinois"
61009,55189,44953,2332,50319,6151,35722,836,1340,0,5820,17161,"Rock Island County, Illinois"
104803,95493,76493,5503,86388,14390,58580,844,2755,55,9310,17163,"St. Clair County, Illinois"
83006,76429,61907,3417,70180,10055,51342,810,2227,0,6577,17167,"Sangamon County, Illinois"
54123,48285,38882,2300,43938,6299,32343,674,1107,74,5838,17179,"Tazewell County, Illinois"
30166,24786,19819,1693,22249,3849,12820,368,554,0,5380,17183,"Vermilion County, Illinois"
231647,220388,195847,8008,205737,13910,168772,1598,5037,125,11259,17197,"Will County, Illinois"
27815,22809,15370,944,20872,4985,13213,421,622,0,5006,17199,"Williamson County, Illinois"
114337,104242,83321,5832,94465,11986,69583,1546,1890,56,10095,17201,"Winnebago County, Illinois"
147638,135591,112854,6674,124098,14371,93921,1426,2875,89,12047,18003,"Allen County, Indiana"
31891,27993,23669,699,25602,2411,20820,432,840,0,3898,18005,"Bartholomew County, Indiana"
24808,23528,22173,911,22339,324,18302,0,377,0,1280,18011,"Boone County, Indiana"
45905,42569,35077,2049,38462,4354,29565,576,749,0,3336,18019,"Clark County, Indiana"
45311,40470,34638,2103,36614,3431,26879,517,762,0,4841,18035,"Delaware County, Indiana"
73660,66826,53499,2969,61103,9019,43571,932,1804,0,6834,18039,"Elkhart County, Indiana"
30300,28457,23851,1382,26356,2752,19297,148,757,0,1843,18043,"Floyd County, Indiana"
26923,23694,18466,1746,20205,3330,14388,258,887,43,3229,18053,"Grant County, Indiana"
122876,119943,112872,1648,115914,4092,100000,328,3947,0,2933,18057,"Hamilton County, Indiana"
29605,27986,23774,1251,25468,2775,20152,219,407,0,1619,18059,"Hancock County, Indiana"
60368,58917,53151,1828,54813,2986,46876,593,1287,0,1451,18063,"Hendricks County, Indiana"
35139,32794,27267,1995,29459,3546,20091,310,656,37,2345,18067,"Howard County, Indiana"
57504,54724,47899,2078,51062,4173,41627,382,1487,0,2780,18081,"Johnson County, Indiana"
