Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,>10K,> $10k With Internet subscription ,> $10k!!Without an Internet subscription,Total!!$10k to $19.9k,$10k to $19.9k!!With Internet subscription ,$10k to  $19.9k!!Without an Internet subscription,"$20,000 to $34,999",$20k to $34.9k!!With Internet subscription,$20k to $34.9k!!Without an Internet subscription,"$35,000 to $49,999",$35k to $49.9k!!With Internet subscription,$35k to $49.9k!!Without an Internet subscription,$50k to $74.9k,"$50k to $74,999!!With Internet subscription",$50k to $74..9k!!Without an Internet subscription,>$75k ,>$75k!!With Internet subscription ,">$75,000!!Without an Internet subscription",id,Geographic Area Name
157678,143655,112748,4907,134884,21228,84586,1228,2660,60,14023,12603,6546,6057,16353,9549,6804,25511,18900,6611,25120,20664,4456,23880,21572,2308,54211,50643,3568,5119,"Pulaski County, Arkansas"
43496,40809,32942,1374,38894,4852,27203,57,721,0,2687,2622,1401,1221,2739,983,1756,5264,4473,791,6638,6012,626,8318,7508,810,17915,16779,1136,5125,"Saline County, Arkansas"
51739,47160,33589,1477,44020,8071,29780,829,1282,0,4579,3099,2218,881,6199,4132,2067,10678,7470,3208,7960,6264,1696,8680,7732,948,15123,13811,1312,5131,"Sebastian County, Arkansas"
90001,84136,70653,2985,79578,9546,52198,288,1228,0,5865,7283,4443,2840,9237,6713,2524,13718,9255,4463,14326,12219,2107,17112,14395,2717,28325,26520,1805,5143,"Washington County, Arkansas"
29577,25602,19561,2050,23093,4747,14264,113,398,0,3975,2667,1291,1376,3942,2161,1781,5647,3760,1887,4385,3601,784,5324,4914,410,7612,7472,140,5145,"White County, Arkansas"
575410,549040,504098,16100,521395,26215,413448,3153,44015,138,26370,24297,17039,7258,30240,20763,9477,45760,36232,9528,43093,36197,6896,75744,69046,6698,356276,347576,8700,6001,"Alameda County, California"
88636,83087,71638,5251,73977,7276,55453,1125,1771,0,5549,5928,4683,1245,11394,7479,3915,14458,12323,2135,11353,9840,1513,14598,13493,1105,30905,29650,1255,6007,"Butte County, California"
396133,380012,342255,11527,359390,19822,293344,2450,11258,38,16121,12542,9804,2738,19757,13707,6050,30216,25028,5188,33193,29680,3513,49744,45671,4073,250681,243849,6832,6013,"Contra Costa County, California"
72774,69132,63043,3829,62886,3622,47131,768,2374,0,3642,3406,2790,616,4105,2715,1390,7712,6156,1556,6092,5415,677,10848,9685,1163,40611,38855,1756,6017,"El Dorado County, California"
309519,279866,216263,9222,262049,42240,176478,3481,10506,60,29653,20872,13235,7637,33401,19001,14400,51728,38449,13279,41520,33727,7793,53981,47522,6459,108017,100054,7963,6019,"Fresno County, California"
55773,52300,42756,3454,45913,3671,32196,1485,6252,0,3473,3235,2682,553,7659,5209,2450,9676,8548,1128,7100,5728,1372,11658,10997,661,16445,15493,952,6023,"Humboldt County, California"
41764,38640,28583,1357,35797,5340,26360,616,1451,0,3124,3998,3210,788,5885,3760,2125,5662,4636,1026,5571,5171,400,7105,6426,679,13543,12786,757,6025,"Imperial County, California"
273167,251273,194748,8279,236365,40040,146794,2842,5201,44,21894,21121,13214,7907,30161,19681,10480,44237,33832,10405,36733,31215,5518,47482,43282,4200,93433,89387,4046,6029,"Kern County, California"
43727,40173,31968,1160,37694,4565,27016,505,595,0,3554,2901,1901,1000,3084,1636,1448,5349,4365,984,5671,4782,889,10238,8730,1508,16484,15356,1128,6031,"Kings County, California"
26774,24036,19321,1718,21540,2983,14488,355,491,0,2738,1584,1258,326,3144,2409,735,4749,3190,1559,4198,3236,962,5264,3908,1356,7835,7214,621,6033,"Lake County, California"
