"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"638647","5380","604937","5723","1148","477","545085","6068","58704","3790","33710","3179","0500000US06071","San Bernardino County, California"
"1130911","6394","1086855","7773","1811","522","1037027","8625","48017","4309","44056","3704","0500000US06073","San Diego County, California"
"362827","5010","340536","5653","722","558","321542","5290","18272","2263","22291","2539","0500000US06075","San Francisco County, California"
"231917","1766","217678","2170","1015","540","195383","2708","21280","2109","14239","1432","0500000US06077","San Joaquin County, California"
"106198","2386","99874","2805","412","285","92921","2942","6541","1633","6324","1368","0500000US06079","San Luis Obispo County, California"
"259654","3087","250464","3173","820","483","238585","3425","11059","1662","9190","1758","0500000US06081","San Mateo County, California"
"146224","2369","138374","2599","398","234","131312","2710","6664","1628","7850","1498","0500000US06083","Santa Barbara County, California"
"645108","4162","623546","4365","936","514","598900","5025","23710","2841","21562","2596","0500000US06085","Santa Clara County, California"
"94994","2034","89378","2298","124","127","83206","2890","6048","1755","5616","1214","0500000US06087","Santa Cruz County, California"
"68198","1621","63143","1792","290","234","58228","1888","4625","1112","5055","979","0500000US06089","Shasta County, California"
"152291","1537","145529","1910","70","115","140315","2264","5144","1193","6762","1221","0500000US06095","Solano County, California"
"187434","2355","179720","2792","958","457","172276","3000","6486","1281","7714","1413","0500000US06097","Sonoma County, California"
"175171","1600","162869","2168","402","239","150982","2561","11485","1943","12302","1710","0500000US06099","Stanislaus County, California"
"31989","879","29191","1146","43","74","27216","1104","1932","686","2798","856","0500000US06101","Sutter County, California"
"139197","1618","122672","2183","119","157","108483","2909","14070","1991","16525","1638","0500000US06107","Tulare County, California"
"271980","2680","254813","3565","238","199","242224","3787","12351","1946","17167","2215","0500000US06111","Ventura County, California"
"74428","1333","70734","1488","0","211","67374","1640","3360","866","3694","1050","0500000US06113","Yolo County, California"
"26191","1076","22746","1320","0","211","19673","1424","3073","1030","3445","932","0500000US06115","Yuba County, California"
"168361","1559","158905","2120","479","290","147051","2964","11375","2147","9456","1545","0500000US08001","Adams County, Colorado"
"242141","2134","232126","2587","318","210","221236","3022","10572","1657","10015","1625","0500000US08005","Arapahoe County, Colorado"
"128295","1837","123421","2123","242","186","117647","2280","5532","1061","4874","1032","0500000US08013","Boulder County, Colorado"
"28530","450","27966","579","92","114","26406","927","1468","823","564","291","0500000US08014","Broomfield County, Colorado"
"310324","3035","294918","3578","710","433","272966","3843","21242","2448","15406","1991","0500000US08031","Denver County, Colorado"
"125035","1382","122857","1636","151","172","120428","1722","2278","616","2178","732","0500000US08035","Douglas County, Colorado"
"260851","2707","247781","3036","638","333","239023","3344","8120","1707","13070","1748","0500000US08041","El Paso County, Colorado"
"233272","1980","219964","2614","717","342","211471","3138","7776","1604","13308","1887","0500000US08059","Jefferson County, Colorado"
"139382","2415","133801","2729","283","322","125794","2925","7724","1666","5581","1305","0500000US08069","Larimer County, Colorado"
"61848","1549","56995","1690","232","210","52193","1608","4570","1127","4853","1057","0500000US08077","Mesa County, Colorado"
"64954","1271","57916","1777","196","152","50531","2016","7189","1431","7038","1089","0500000US08101","Pueblo County, Colorado"
"107929","1530","102751","1819","206","166","96263","2042","6282","1190","5178","1179","0500000US08123","Weld County, Colorado"
"345634","3285","325221","3418","698","300","310128","4468","14395","2529","20413","2001","0500000US09001","Fairfield County, Connecticut"
"348049","3171","320183","3420","739","373","297169","3933","22275","2561","27866","2593","0500000US09003","Hartford County, Connecticut"
"73598","1684","67520","1990","228","189","62917","2154","4375","1065","6078","1189","0500000US09005","Litchfield County, Connecticut"
"66983","1949","62516","1970","164","138","58736","2270","3616","1146","4467","1012","0500000US09007","Middlesex County, Connecticut"
"335539","3432","303843","4222","935","484","280598","4768","22310","2891","31696","3305","0500000US09009","New Haven County, Connecticut"
"108098","1938","100040","2399","214","154","94696","2500","5130","1246","8058","1547","0500000US09011","New London County, Connecticut"
"55619","1737","52027","1779","201","258","48628","1791","3198","983","3592","832","0500000US09013","Tolland County, Connecticut"
"44571","1494","40500","1888","166","196","37318","1996","3016","938","4071","1002","0500000US09015","Windham County, Connecticut"
"67841","1367","60595","1868","228","187","57421","1962","2946","766","7246","1256","0500000US10001","Kent County, Delaware"
"206351","2324","196008","2807","344","193","187641","3174","8023","1488","10343","1444","0500000US10003","New Castle County, Delaware"
"93479","3097","84814","3378","213","164","77971","3522","6630","1480","8665","1566","0500000US10005","Sussex County, Delaware"
"287476","2752","266613","3420","182","126","244913","3862","21518","2703","20863","2403","0500000US11001","District of Columbia, District of Columbia"
"97782","2912","93407","2896","139","156","84455","3220","8813","1524","4375","1189","0500000US12001","Alachua County, Florida"
"73856","2382","68037","2511","65","111","63684","2629","4288","1140","5819","1311","0500000US12005","Bay County, Florida"
"226363","4269","209537","4646","797","395","199410","5032","9330","1554","16826","2650","0500000US12009","Brevard County, Florida"
"694980","6477","655599","6862","1164","440","595375","7802","59060","5155","39381","3214","0500000US12011","Broward County, Florida"
"74975","3063","67947","3061","183","176","64209","3018","3555","983","7028","1251","0500000US12015","Charlotte County, Florida"
"62293","2908","57105","3166","46","79","50992","3223","6067","1635","5188","1260","0500000US12017","Citrus County, Florida"
"75958","2151","73268","2310","142","184","70205","2426","2921","1226","2690","961","0500000US12019","Clay County, Florida"
"144172","4574","134294","4843","188","230","122867","4580","11239","2161","9878","1902","0500000US12021","Collier County, Florida"
"25678","967","24000","979","0","229","20518","1249","3482","1011","1678","607","0500000US12023","Columbia County, Florida"
"367238","4633","342926","5253","620","341","320444","5938","21862","2443","24312","2664","0500000US12031","Duval County, Florida"
"118820","3150","109334","3508","273","220","98491","3737","10570","1945","9486","1704","0500000US12033","Escambia County, Florida"
"41274","1947","36375","2220","0","229","30427","2206","5948","1343","4899","1429","0500000US12035","Flagler County, Florida"
"76163","2250","71041","2517","199","193","65765","2646","5077","1097","5122","1069","0500000US12053","Hernando County, Florida"
"40573","2282","34959","2197","117","169","31378","2071","3464","1056","5614","1348","0500000US12055","Highlands County, Florida"
"540142","4045","514288","5159","389","321","477938","5906","35961","3568","25854","3050","0500000US12057","Hillsborough County, Florida"
"57636","2600","51246","2684","118","154","46965","2739","4163","1324","6390","1348","0500000US12061","Indian River County, Florida"
"136366","3542","127494","3874","278","219","120393","3946","6823","1662","8872","1731","0500000US12069","Lake County, Florida"
"281222","6698","264914","7343","838","370","243916","6538","20160","3043","16308","2628","0500000US12071","Lee County, Florida"
"113390","2646","106790","2618","144","140","99142","2700","7504","1533","6600","1147","0500000US12073","Leon County, Florida"
"150814","3654","142268","3501","60","98","131214","3676","10994","1989","8546","1735","0500000US12081","Manatee County, Florida"
"143441","4064","127543","4417","458","361","119117","4885","7968","1845","15898","2551","0500000US12083","Marion County, Florida"
"63070","2157","59088","2354","263","299","55526","2366","3299","1079","3982","1130","0500000US12085","Martin County, Florida"
"895801","6705","837519","7091","706","459","707253","7884","129560","6591","58282","4156","0500000US12086","Miami-Dade County, Florida"
"31362","1892","30369","1844","28","44","27749","1916","2592","915","993","439","0500000US12087","Monroe County, Florida"
"32624","1353","31315","1489","345","292","28730","1651","2240","1028","1309","541","0500000US12089","Nassau County, Florida"
"79570","2256","75461","2423","148","198","69189","2737","6124","1386","4109","1116","0500000US12091","Okaloosa County, Florida"
"458157","4549","436659","5346","911","396","403975","5796","31773","3344","21498","2811","0500000US12095","Orange County, Florida"
"102705","3890","97741","4135","44","75","87428","4324","10269","2289","4964","1393","0500000US12097","Osceola County, Florida"
"552286","5680","522553","5545","1348","484","481594","5828","39611","2940","29733","2765","0500000US12099","Palm Beach County, Florida"
"205128","3653","186401","4228","504","379","170476","4124","15421","1936","18727","2172","0500000US12101","Pasco County, Florida"
"405892","5053","370430","5400","1007","363","336756","6516","32667","3374","35462","2907","0500000US12103","Pinellas County, Florida"
"241171","4086","216983","4339","1157","502","174011","5219","41815","3666","24188","2721","0500000US12105","Polk County, Florida"
"27927","1726","24878","1749","119","157","23060","1808","1699","695","3049","813","0500000US12107","Putnam County, Florida"
"90109","3058","85629","3241","419","301","78321","3669","6889","1905","4480","1246","0500000US12109","St. Johns County, Florida"
"118768","3239","113599","3442","46","78","105975","4001","7578","2092","5169","1252","0500000US12111","St. Lucie County, Florida"
"63891","2129","60536","2312","111","142","57071","2433","3354","1015","3355","899","0500000US12113","Santa Rosa County, Florida"
"183721","3804","171380","3993","217","208","160015","3982","11148","1751","12341","1919","0500000US12115","Sarasota County, Florida"
"179274","2475","171687","2911","182","171","157971","3513","13534","2549","7587","1645","0500000US12117","Seminole County, Florida"
"62854","2590","58614","2673","295","281","55604","2552","2715","1019","4240","1216","0500000US12119","Sumter County, Florida"
"218423","4087","204073","4126","448","395","178431","4166","25194","2588","14350","1946","0500000US12127","Volusia County, Florida"
"28770","2180","26716","2245","291","298","25017","2377","1408","695","2054","767","0500000US12131","Walton County, Florida"
"27525","714","25654","955","0","226","23905","1090","1749","680","1871","616","0500000US13013","Barrow County, Georgia"
"35506","1553","33497","1652","0","226","27321","1902","6176","1510","2009","816","0500000US13015","Bartow County, Georgia"
"57905","1802","50225","2113","143","175","44744","2240","5338","1328","7680","1353","0500000US13021","Bibb County, Georgia"
"27097","1613","24349","1773","0","226","21394","1892","2955","1009","2748","890","0500000US13031","Bulloch County, Georgia"
"41197","1480","36367","1566","53","86","33884","1671","2430","824","4830","1124","0500000US13045","Carroll County, Georgia"
"24722","1260","22000","1551","52","99","21131","1553","817","487","2722","837","0500000US13047","Catoosa County, Georgia"
"107921","2645","101090","3048","79","91","95083","3266","5928","1321","6831","1258","0500000US13051","Chatham County, Georgia"
"89974","1560","87696","1626","0","226","84871","1935","2825","1145","2278","883","0500000US13057","Cherokee County, Georgia"
"49698","1441","46141","1743","47","83","43062","1900","3032","918","3557","971","0500000US13059","Clarke County, Georgia"
"96286","2093","89596","2444","431","456","73866","3133","15299","2130","6690","1576","0500000US13063","Clayton County, Georgia"
"283094","3547","276380","4034","529","353","264117","4593","11734","2052","6714","1217","0500000US13067","Cobb County, Georgia"
"47167","2238","44082","2167","0","226","40863","2018","3219","1258","3085","1197","0500000US13073","Columbia County, Georgia"
"52114","1333","48157","2040","60","100","43765","2289","4332","1357","3957","1341","0500000US13077","Coweta County, Georgia"
"287001","3281","269348","3626","331","244","249065","4449","19952","2952","17653","2068","0500000US13089","DeKalb County, Georgia"
"33717","1752","29913","1954","0","226","25381","1943","4532","1037","3804","958","0500000US13095","Dougherty County, Georgia"
"49534","1582","48036","1711","209","229","42413","2555","5414","1646","1498","702","0500000US13097","Douglas County, Georgia"
