id,total (total_pop),total (int_access),total (income),perc_int_access,perc_income
6053,435594,126299,92949,28.9947,21.3384
6055,139417,47315,33064,33.9378,23.7159
6057,99696,41447,25779,41.5734,25.8576
6059,3185968,1040394,735186,32.6555,23.0758
6061,393149,144691,99968,36.8031,25.4275
6065,2450758,728103,524194,29.7093,21.3891
51179,149960,48418,39246,32.2873,26.171
51199,67846,24996,16763,36.8423,24.7074
51510,160530,71740,35480,44.6895,22.1018
51550,242634,86122,63748,35.4946,26.2733
51650,134313,54800,31422,40.8002,23.3946
51680,82126,28500,14511,34.7028,17.6692
51700,178626,71291,41824,39.9108,23.4143
51710,244076,89338,51345,36.6025,21.0365
51740,94632,34578,19958,36.5394,21.0901
51760,228783,91359,40477,39.9326,17.6923
51770,99920,41353,22638,41.3861,22.6561
51800,91185,34890,24434,38.2629,26.7961
51810,450189,172183,116678,38.2468,25.9176
53005,201877,71921,48936,35.6261,24.2405
53007,77036,31587,20322,41.0029,26.3799
53009,76737,33265,21564,43.3494,28.1012
53011,481857,178980,124605,37.1438,25.8593
53015,108987,43279,28076,39.7102,25.7609
53021,94347,27067,21365,28.6888,22.6451
53025,97331,30806,21332,31.6508,21.917
53027,73901,27674,17388,37.4474,23.5288
53029,84460,34572,24156,40.933,28.6005
53033,2233163,897476,536144,40.1886,24.0083
53035,269805,105411,70776,39.0693,26.2323
53041,79604,30327,20221,38.0973,25.402
53045,65507,25864,15168,39.4828,23.1548
48099,74808,21491,14496,28.7282,19.3776
48113,2637772,937438,601367,35.539,22.7983
48121,859064,297899,212406,34.6772,24.7253
48135,162124,54326,38983,33.5089,24.0452
51095,76397,29849,21705,39.0709,28.4108
51107,406850,133417,103064,32.7927,25.3322
51121,98985,34585,17953,34.9396,18.1371
51153,468011,143861,110771,30.7388,23.6685
55027,87847,35221,23524,40.0936,26.7784
55035,104534,40421,22752,38.6678,21.7652
55039,103066,41009,26010,39.7891,25.2363
55055,85129,33180,22536,38.9761,26.4728
55059,169290,62950,41835,37.1847,24.712
9013,150921,55619,35882,36.8531,23.7754
9015,117027,44571,29594,38.0861,25.2882
10001,178550,67841,44907,37.9955,25.1509
10003,559335,206351,131524,36.8922,23.5144
10005,229286,93479,61968,40.7696,27.0265
24001,70975,27190,16619,38.3093,23.4153
24003,576031,212687,145626,36.9228,25.2809
24005,828431,313259,203785,37.8135,24.5989
24009,92003,32145,24267,34.9391,26.3763
24013,168429,60371,46205,35.8436,27.4329
24015,102826,36620,25567,35.6136,24.8643
11001,702455,287476,121529,40.9245,17.3006
12001,269956,97782,49488,36.2215,18.3319
12005,185287,73856,49233,39.8603,26.5712
12009,596849,226363,140955,37.9263,23.6165
12011,1951260,694980,439980,35.617,22.5485
12015,184998,74975,47734,40.5275,25.8024
12017,147929,62293,36112,42.1101,24.4117
12019,216072,75958,58071,35.154,26.8758
12021,378488,144172,97654,38.0916,25.8011
12023,70503,25678,15657,36.4211,22.2076
12031,950181,367238,229923,38.6493,24.1978
12033,315534,118820,70583,37.6568,22.3694
12035,112067,41274,29721,36.8298,26.5207
12053,190865,76163,52370,39.9041,27.4382
12055,105424,40573,27635,38.4855,26.2132
12057,1436888,540142,342998,37.5911,23.8709
12061,157413,57636,34563,36.6145,21.9569
12069,356495,136366,94847,38.2519,26.6054
49045,69907,20411,15962,29.1974,22.8332
49049,622213,171117,140373,27.5014,22.5603
49053,171700,59863,44128,34.8649,25.7006
49057,256359,85615,63224,33.3965,24.6623
50007,164572,66095,37668,40.1618,22.8885
51003,108718,41956,26631,38.5916,24.4955
51013,237521,109940,51898,46.2864,21.8499
51015,75457,29783,20628,39.4702,27.3374
51019,78747,31271,21765,39.7107,27.6391
51041,348556,126748,93676,36.3637,26.8755
51059,1150795,396628,284876,34.4656,24.7547
51061,70675,25134,18279,35.5628,25.8635
51069,88355,31551,23773,35.7094,26.9062
51085,107239,39929,29717,37.2337,27.711
51087,329261,129408,81503,39.3026,24.7533
12113,179349,63891,50566,35.6238,28.1942
12115,426718,183721,112078,43.0544,26.2651
12117,467832,179274,121209,38.3202,25.9087
12119,128754,62854,40081,48.8171,31.1299
12127,547538,218423,131946,39.8918,24.0981
12131,71375,28770,19893,40.3082,27.8711
13013,80809,27525,21369,34.0618,26.4438
13015,106408,35506,26858,33.3678,25.2406
17161,143477,61009,37658,42.5218,26.2467
17163,261059,104803,62855,40.1453,24.0769
17167,195348,83006,50266,42.4913,25.7315
17179,132328,54123,36209,40.9006,27.3631
17183,76806,30166,18856,39.2756,24.5502
17197,692310,231647,175294,33.46,25.3202
17199,67056,27815,16751,41.4803,24.9806
17201,284081,114337,74514,40.248,26.2298
18003,375351,147638,96270,39.3333,25.648
18005,82753,31891,20485,38.5376,24.7544
18011,66999,24808,19702,37.0274,29.4064
18019,117360,45905,30544,39.1147,26.0259
18035,114772,45311,26313,39.4791,22.9263
18039,205560,73660,53807,35.8338,26.1758
22097,82764,29965,20018,36.2054,24.1868
22103,258111,93589,67922,36.2592,26.315
22105,133777,47401,29605,35.4328,22.1301
36053,70795,26127,17590,36.9051,24.8464
36055,742474,301668,180738,40.6301,24.3427
36059,1358343,447123,340833,32.9168,25.0918
36061,1628701,752258,319832,46.1876,19.6372
36063,210433,89765,55135,42.6573,26.2007
36065,229577,88871,56426,38.7108,24.5782
36067,461809,185046,115176,40.0698,24.9402
36069,109864,44079,27228,40.1214,24.7834
36071,381951,128259,90988,33.58,23.8219
42097,91083,38816,24812,42.6161,27.2411
42101,1584138,608233,325909,38.3952,20.5733
42107,142067,58458,36189,41.1482,25.4732
42111,73952,28796,20003,38.9388,27.0486
42125,207346,85835,54054,41.397,26.0695
42129,350611,150368,97065,42.8874,27.6845
42133,448273,173958,120331,38.8063,26.8432
44003,163861,69115,42333,42.179,25.8347
44005,82542,34316,20562,41.574,24.911
44007,636084,237038,138683,37.2652,21.8026
