id,total,has_computer,no_computer
31109,125917,118576,7341
31153,66273,63305,2968
32003,808605,755963,52642
32031,185709,176054,9655
33005,30208,27152,3056
33009,35394,32576,2818
33011,161649,152929,8720
33013,58521,55097,3424
33015,119467,114561,4906
33017,48393,45144,3249
34001,96981,90877,6104
34003,339953,318296,21657
34005,166698,156495,10203
34007,188840,172891,15949
34009,39208,36467,2741
34011,50034,44617,5417
34013,289921,266330,23591
34015,101414,95140,6274
34017,263924,246399,17525
34019,47733,45515,2218
34021,132980,124528,8452
34023,285480,269001,16479
34025,236327,221863,14464
34027,181738,172181,9557
34029,228622,205540,23082
34031,169521,156615,12906
34033,23952,22042,1910
34035,118729,114618,4111
34037,53749,51259,2490
34039,192021,174469,17552
34041,41742,37737,4005
35001,270655,250248,20407
35005,22616,19376,3240
35013,80409,70212,10197
35025,23215,21057,2158
35031,21449,13598,7851
35035,23747,21840,1907
35043,53996,48489,5507
35045,43707,36996,6711
35049,62707,55119,7588
35061,28379,25003,3376
36001,126578,114748,11830
36005,507370,449984,57386
36007,75539,68759,6780
36009,32079,26799,5280
36011,30083,26806,3277
36013,53429,46451,6978
36015,34325,30456,3869
36019,31392,28840,2552
36027,108071,101278,6793
36029,390341,349864,40477
36045,44657,40785,3872
36047,969317,862989,106328
36051,23746,21860,1886
36053,26127,23602,2525
36055,301668,275770,25898
36059,447123,421870,25253
36061,752258,695861,56397
36063,89765,79356,10409
36065,88871,79346,9525
36067,185046,163493,21553
36069,44079,40692,3387
36071,128259,116218,12041
36075,46270,41390,4880
36079,35425,33517,1908
36081,788110,727774,60336
36083,64614,60061,4553
36085,167441,153692,13749
36087,99502,88477,11025
36089,41680,36032,5648
36091,94156,88679,5477
36093,55262,50432,4830
36101,40578,35590,4988
36103,496784,467856,28928
36105,28900,25630,3270
36109,40250,38483,1767
36111,69154,64596,4558
36113,28007,24347,3660
36117,35927,31970,3957
36119,352498,327815,24683
37001,64700,57378,7322
37019,56752,53603,3149
37021,108411,96027,12384
37023,36157,31861,4296
37025,73751,70142,3609
37027,31544,27293,4251
37031,28720,26753,1967
37035,62861,56607,6254
37037,28343,25874,2469
37045,34574,28405,6169
37049,40412,37486,2926
37051,127911,117600,10311
37057,68761,61118,7643
37063,127527,121670,5857
37067,150437,138253,12184
37069,26380,23339,3041
37071,84999,75886,9113
37081,209842,189359,20483
37085,46015,42502,3513
37089,49514,44766,4748
37097,68328,62711,5617
37101,70001,64027,5974
37109,34233,31886,2347
37119,418135,400351,17784
37125,40756,36601,4155
37127,37767,33542,4225
37129,98151,93018,5133
37133,66834,64394,2440
37135,53959,50631,3328
37147,69288,62255,7033
37151,54783,49837,4946
37155,46026,38868,7158
37157,37476,28486,8990
37159,53806,47046,6760
37161,26305,22134,4171
37171,29230,23524,5706
37179,77696,73978,3718
37183,408473,396038,12435
37191,49019,42724,6295
37193,30123,25891,4232
37195,31817,26628,5189
38015,40736,37729,3007
38017,74343,69466,4877
38035,30916,28146,2770
38101,27887,24927,2960
39003,41204,36955,4249
39007,35445,29614,5831
39009,22533,19965,2568
39013,24742,20117,4625
39017,143040,132630,10410
39023,55327,50284,5043
39025,77920,72215,5705
39029,41884,36332,5552
39035,542122,484796,57326
39041,70501,69078,1423
39043,31675,28788,2887
39045,55934,51556,4378
39049,519468,487921,31547
39055,35387,31533,3854
39057,66053,61005,5048
39061,344562,314575,29987
39063,31606,29276,2330
39081,27292,22011,5281
39085,96577,90290,6287
39089,62237,57298,4939
39093,121344,113148,8196
39095,178289,161733,16556
39099,97365,86026,11339
39101,24205,21948,2257
39103,70609,66715,3894
39109,41148,37220,3928
39113,224225,203538,20687
39119,34471,30345,4126
39133,60801,55835,4966
39139,48105,40628,7477
39141,29779,26239,3540
39145,28719,25187,3532
39151,152210,136562,15648
39153,226243,205924,20319
39155,83303,72800,10503
39157,36740,32281,4459
39165,83540,80591,2949
39169,43908,37666,6242
39173,50694,47790,2904
40017,45344,42784,2560
40027,110775,104885,5890
40031,42489,39368,3121
40037,26957,24167,2790
40101,26566,22845,3721
40109,302645,277983,24662
40119,30734,28837,1897
40125,26714,23730,2984
40131,35254,33299,1955
40143,250492,232795,17697
40145,30186,28356,1830
41003,35520,34172,1348
41005,158749,151173,7576
41017,79950,76811,3139
41019,45647,41312,4335
41029,89787,85224,4563
41033,37059,34437,2622
41035,26798,24545,2253
41039,156072,147852,8220
41043,48464,45112,3352
41047,119511,113504,6007
41051,330223,313993,16230
41053,31218,29947,1271
41059,26048,23525,2523
41067,225955,219361,6594
41071,37235,34198,3037
42001,39570,35438,4132
42003,543369,492748,50621
42005,27332,23305,4027
42007,73059,65150,7909
42011,157006,140835,16171
42013,51096,44563,6533
42017,239962,224426,15536
42019,77764,69909,7855
42021,56483,47274,9209
42025,25177,22212,2965
42027,58514,54021,4493
42029,192746,181591,11155
42033,31992,27618,4374
42037,26655,23104,3551
42039,34386,30534,3852
42041,102243,93642,8601
42043,112559,100349,12210
42045,207499,192335,15164
42049,109797,99226,10571
42051,56085,46577,9508
42055,59834,52587,7247
42063,33098,28166,4932
42069,88268,78054,10214
42071,202490,178584,23906
42073,37497,33138,4359
42075,54522,48370,6152
42077,138586,125750,12836
42079,128301,111582,16719
42081,44585,39568,5017
42085,46809,40032,6777
42089,55109,51142,3967
42091,313336,297278,16058
42095,114996,103676,11320
42097,38816,32302,6514
42101,608233,535555,72678
42107,58458,48816,9642
42111,28796,23338,5458
42125,85835,76469,9366
42129,150368,134120,16248
42133,173958,157877,16081
44003,69115,62650,6465
44005,34316,31736,2580
44007,237038,207634,29404
44009,47680,45424,2256
45003,68609,61741,6868
