index,id,geographic_area_name,households,avg_household_income_dollars
242,18141,"St. Joseph County, Indiana",107730,72422
243,18157,"Tippecanoe County, Indiana",70446,68166
244,18163,"Vanderburgh County, Indiana",75058,69712
245,18167,"Vigo County, Indiana",43262,64806
246,18177,"Wayne County, Indiana",28338,57827
247,19013,"Black Hawk County, Iowa",53386,69819
248,19049,"Dallas County, Iowa",35492,105070
249,19061,"Dubuque County, Iowa",38501,75860
250,19103,"Johnson County, Iowa",60868,90332
251,19113,"Linn County, Iowa",91747,83719
252,19153,"Polk County, Iowa",189546,88187
253,19155,"Pottawattamie County, Iowa",36635,71387
254,19163,"Scott County, Iowa",66905,82135
255,19169,"Story County, Iowa",37290,69065
256,19193,"Woodbury County, Iowa",39253,77604
257,20015,"Butler County, Kansas",24692,75446
258,20045,"Douglas County, Kansas",48907,74530
259,20091,"Johnson County, Kansas",231184,117813
260,20103,"Leavenworth County, Kansas",26654,87405
261,20161,"Riley County, Kansas",26617,65744
262,20173,"Sedgwick County, Kansas",198024,74899
263,20177,"Shawnee County, Kansas",72788,75252
264,20209,"Wyandotte County, Kansas",60708,58859
265,21015,"Boone County, Kentucky",47684,94148
266,21029,"Bullitt County, Kentucky",29789,70387
267,21037,"Campbell County, Kentucky",36992,77962
268,21047,"Christian County, Kentucky",26114,63537
269,21059,"Daviess County, Kentucky",39590,66797
270,21067,"Fayette County, Kentucky",131067,82464
271,21093,"Hardin County, Kentucky",41625,72497
272,21111,"Jefferson County, Kentucky",311263,79454
273,21117,"Kenton County, Kentucky",64611,84280
274,21145,"McCracken County, Kentucky",27650,76906
275,21151,"Madison County, Kentucky",33396,71595
276,21185,"Oldham County, Kentucky",21237,127427
277,21227,"Warren County, Kentucky",48843,71824
278,22005,"Ascension Parish, Louisiana",45102,95520
279,22015,"Bossier Parish, Louisiana",50099,71722
280,22017,"Caddo Parish, Louisiana",94778,59406
281,22019,"Calcasieu Parish, Louisiana",78351,69971
282,22033,"East Baton Rouge Parish, Louisiana",163274,82021
283,22045,"Iberia Parish, Louisiana",25386,56867
284,22051,"Jefferson Parish, Louisiana",167596,71194
285,22055,"Lafayette Parish, Louisiana",94002,74543
286,22057,"Lafourche Parish, Louisiana",35838,71143
287,22063,"Livingston Parish, Louisiana",49084,88406
288,22071,"Orleans Parish, Louisiana",155104,65720
289,22073,"Ouachita Parish, Louisiana",55599,66696
290,22079,"Rapides Parish, Louisiana",48915,66131
291,22097,"St. Landry Parish, Louisiana",29965,52090
292,22103,"St. Tammany Parish, Louisiana",93589,90948
293,22105,"Tangipahoa Parish, Louisiana",47401,60849
294,22109,"Terrebonne Parish, Louisiana",37911,71651
295,23001,"Androscoggin County, Maine",44897,65278
296,23003,"Aroostook County, Maine",29931,53200
297,23005,"Cumberland County, Maine",123485,94360
298,23011,"Kennebec County, Maine",54299,68071
299,23019,"Penobscot County, Maine",61765,64741
300,23031,"York County, Maine",88416,81672
301,24001,"Allegany County, Maryland",27190,58023
302,24003,"Anne Arundel County, Maryland",212687,122898
303,24005,"Baltimore County, Maryland",313259,100183
304,24009,"Calvert County, Maryland",32145,129594
305,24013,"Carroll County, Maryland",60371,114065
306,24015,"Cecil County, Maryland",36620,87103
307,24017,"Charles County, Maryland",56947,106524
308,24021,"Frederick County, Maryland",95903,116355
309,24025,"Harford County, Maryland",94802,105492
310,24027,"Howard County, Maryland",116903,144344
311,24031,"Montgomery County, Maryland",368334,147917
312,24033,"Prince George''s County, Maryland",315759,101623
313,24037,"St. Mary''s County, Maryland",41239,106262
314,24043,"Washington County, Maryland",56306,79183
315,24045,"Wicomico County, Maryland",38084,71123
316,24510,"Baltimore city, Maryland",237204,74942
317,25001,"Barnstable County, Massachusetts",86671,94443
318,25003,"Berkshire County, Massachusetts",55212,77385
319,25005,"Bristol County, Massachusetts",215132,88251
320,25009,"Essex County, Massachusetts",295481,109821
321,25011,"Franklin County, Massachusetts",30391,79786
322,25013,"Hampden County, Massachusetts",178678,74184
323,25015,"Hampshire County, Massachusetts",58902,95842
324,25017,"Middlesex County, Massachusetts",612224,134090
325,25021,"Norfolk County, Massachusetts",267880,141688
326,25023,"Plymouth County, Massachusetts",189304,115820
327,25025,"Suffolk County, Massachusetts",315049,102280
328,25027,"Worcester County, Massachusetts",308831,95428
329,26005,"Allegan County, Michigan",43992,73331
330,26017,"Bay County, Michigan",44469,66454
331,26021,"Berrien County, Michigan",64783,73729
332,26025,"Calhoun County, Michigan",53914,62362
333,26037,"Clinton County, Michigan",29783,81448
334,26045,"Eaton County, Michigan",44879,82681
335,26049,"Genesee County, Michigan",169469,66520
336,26055,"Grand Traverse County, Michigan",36782,85300
337,26065,"Ingham County, Michigan",112170,73255
338,26073,"Isabella County, Michigan",25367,64189
339,26075,"Jackson County, Michigan",62598,66668
340,26077,"Kalamazoo County, Michigan",104234,76214
341,26081,"Kent County, Michigan",244046,85481
342,26087,"Lapeer County, Michigan",33560,82183
343,26091,"Lenawee County, Michigan",38388,70326
344,26093,"Livingston County, Michigan",72676,100699
345,26099,"Macomb County, Michigan",347508,78874
346,26103,"Marquette County, Michigan",26328,66475
347,26111,"Midland County, Michigan",34091,81508
348,26115,"Monroe County, Michigan",61586,77934
349,26121,"Muskegon County, Michigan",67196,65118
350,26125,"Oakland County, Michigan",503645,107683
351,26139,"Ottawa County, Michigan",103438,86438
352,26145,"Saginaw County, Michigan",78740,68782
353,26147,"St. Clair County, Michigan",65751,74430
354,26155,"Shiawassee County, Michigan",28218,70227
355,26159,"Van Buren County, Michigan",28607,72589
356,26161,"Washtenaw County, Michigan",143072,101689
357,26163,"Wayne County, Michigan",687546,66287
358,27003,"Anoka County, Minnesota",128140,97645
359,27013,"Blue Earth County, Minnesota",26362,74210
360,27019,"Carver County, Minnesota",36925,126528
361,27037,"Dakota County, Minnesota",162496,106417
362,27053,"Hennepin County, Minnesota",508964,109964
363,27109,"Olmsted County, Minnesota",63462,100705
364,27123,"Ramsey County, Minnesota",209287,88939
365,27131,"Rice County, Minnesota",23358,82287
366,27137,"St. Louis County, Minnesota",84370,69677
367,27139,"Scott County, Minnesota",50040,118896
368,27141,"Sherburne County, Minnesota",32033,89624
369,27145,"Stearns County, Minnesota",58510,78545
370,27163,"Washington County, Minnesota",96387,121670
371,27171,"Wright County, Minnesota",48863,101340
372,28033,"DeSoto County, Mississippi",63075,79336
373,28035,"Forrest County, Mississippi",27248,58042
374,28047,"Harrison County, Mississippi",82375,65158
375,28049,"Hinds County, Mississippi",85483,58036
376,28059,"Jackson County, Mississippi",51659,62412
377,28067,"Jones County, Mississippi",25098,59227
378,28075,"Lauderdale County, Mississippi",29993,54725
379,28081,"Lee County, Mississippi",32527,69878
380,28089,"Madison County, Mississippi",40229,111693
381,28121,"Rankin County, Mississippi",55483,81922
382,29019,"Boone County, Missouri",72217,74844
383,29021,"Buchanan County, Missouri",33621,65793
384,29031,"Cape Girardeau County, Missouri",28675,62336
385,29037,"Cass County, Missouri",40197,83313
386,29043,"Christian County, Missouri",31421,70756
387,29047,"Clay County, Missouri",91901,86398
388,29051,"Cole County, Missouri",29593,80749
389,29071,"Franklin County, Missouri",40387,77029
390,29077,"Greene County, Missouri",128691,62445
391,29095,"Jackson County, Missouri",288752,74371
392,29097,"Jasper County, Missouri",47846,60908
393,29099,"Jefferson County, Missouri",85892,81128
394,29165,"Platte County, Missouri",40086,104088
395,29183,"St. Charles County, Missouri",149951,99389
396,29187,"St. Francois County, Missouri",25670,61053
397,29189,"St. Louis County, Missouri",408117,98565
398,29510,"St. Louis city, Missouri",144295,63791
399,30013,"Cascade County, Montana",35558,67884
400,30029,"Flathead County, Montana",38372,77935
401,30031,"Gallatin County, Montana",44423,87759
402,30049,"Lewis and Clark County, Montana",27842,77682
403,30063,"Missoula County, Montana",50401,74932
404,30111,"Yellowstone County, Montana",66805,75619
405,31055,"Douglas County, Nebraska",220858,89510
406,31109,"Lancaster County, Nebraska",125917,75565
407,31153,"Sarpy County, Nebraska",66273,97450
408,32003,"Clark County, Nevada",808605,80329
409,32031,"Washoe County, Nevada",185709,87024
410,33005,"Cheshire County, New Hampshire",30208,83006
411,33009,"Grafton County, New Hampshire",35394,91144
412,33011,"Hillsborough County, New Hampshire",161649,102956
413,33013,"Merrimack County, New Hampshire",58521,92823
414,33015,"Rockingham County, New Hampshire",119467,114193
415,33017,"Strafford County, New Hampshire",48393,92591
416,34001,"Atlantic County, New Jersey",96981,84780
417,34003,"Bergen County, New Jersey",339953,137007
418,34005,"Burlington County, New Jersey",166698,112755
419,34007,"Camden County, New Jersey",188840,91076
420,34009,"Cape May County, New Jersey",39208,97909
421,34011,"Cumberland County, New Jersey",50034,68355
422,34013,"Essex County, New Jersey",289921,105636
423,34015,"Gloucester County, New Jersey",101414,101668
424,34017,"Hudson County, New Jersey",263924,106971
425,34019,"Hunterdon County, New Jersey",47733,143132
426,34021,"Mercer County, New Jersey",132980,114713
427,34023,"Middlesex County, New Jersey",285480,110681
428,34025,"Monmouth County, New Jersey",236327,134685
429,34027,"Morris County, New Jersey",181738,158144
430,34029,"Ocean County, New Jersey",228622,94143
431,34031,"Passaic County, New Jersey",169521,98797
432,34033,"Salem County, New Jersey",23952,81113
433,34035,"Somerset County, New Jersey",118729,154334
434,34037,"Sussex County, New Jersey",53749,116821
435,34039,"Union County, New Jersey",192021,118906
436,34041,"Warren County, New Jersey",41742,98174
437,35001,"Bernalillo County, New Mexico",270655,73158
438,35005,"Chaves County, New Mexico",22616,57336
439,35013,"Doña Ana County, New Mexico",80409,57752
440,35025,"Lea County, New Mexico",23215,65330
441,35031,"McKinley County, New Mexico",21449,48580
442,35035,"Otero County, New Mexico",23747,53601
443,35043,"Sandoval County, New Mexico",53996,70136
444,35045,"San Juan County, New Mexico",43707,59736
445,35049,"Santa Fe County, New Mexico",62707,87083
446,35061,"Valencia County, New Mexico",28379,59940
447,36001,"Albany County, New York",126578,87509
448,36005,"Bronx County, New York",507370,57617
449,36007,"Broome County, New York",75539,68268
450,36009,"Cattaraugus County, New York",32079,60778
451,36011,"Cayuga County, New York",30083,72026
452,36013,"Chautauqua County, New York",53429,60922
453,36015,"Chemung County, New York",34325,72849
454,36019,"Clinton County, New York",31392,70808
455,36027,"Dutchess County, New York",108071,101825
456,36029,"Erie County, New York",390341,76265
457,36045,"Jefferson County, New York",44657,64940
458,36047,"Kings County, New York",969317,92542
459,36051,"Livingston County, New York",23746,73481
460,36053,"Madison County, New York",26127,74332
461,36055,"Monroe County, New York",301668,78573
462,36059,"Nassau County, New York",447123,149295
463,36061,"New York County, New York",752258,156633
464,36063,"Niagara County, New York",89765,74744
465,36065,"Oneida County, New York",88871,70456
466,36067,"Onondaga County, New York",185046,81410
467,36069,"Ontario County, New York",44079,86163
468,36071,"Orange County, New York",128259,99408
469,36075,"Oswego County, New York",46270,72834
470,36079,"Putnam County, New York",35425,127060
471,36081,"Queens County, New York",788110,89633
472,36083,"Rensselaer County, New York",64614,84541
473,36085,"Richmond County, New York",167441,101953
474,36087,"Rockland County, New York",99502,118960
475,36089,"St. Lawrence County, New York",41680,65780
476,36091,"Saratoga County, New York",94156,104904
477,36093,"Schenectady County, New York",55262,80109
478,36101,"Steuben County, New York",40578,69932
479,36103,"Suffolk County, New York",496784,126020
480,36105,"Sullivan County, New York",28900,72044
481,36109,"Tompkins County, New York",40250,80857
482,36111,"Ulster County, New York",69154,88816
483,36113,"Warren County, New York",28007,75644
484,36117,"Wayne County, New York",35927,79920
485,36119,"Westchester County, New York",352498,151637
486,37001,"Alamance County, North Carolina",64700,68592
487,37019,"Brunswick County, North Carolina",56752,73963
488,37021,"Buncombe County, North Carolina",108411,78359
489,37023,"Burke County, North Carolina",36157,65820
