index,total_pop,id,Geographic Area Name
241,270771,18141,"St. Joseph County, Indiana"
242,193048,18157,"Tippecanoe County, Indiana"
243,180974,18163,"Vanderburgh County, Indiana"
244,107386,18167,"Vigo County, Indiana"
245,65936,18177,"Wayne County, Indiana"
246,132408,19013,"Black Hawk County, Iowa"
247,90180,19049,"Dallas County, Iowa"
248,96854,19061,"Dubuque County, Iowa"
249,151260,19103,"Johnson County, Iowa"
250,225909,19113,"Linn County, Iowa"
251,487204,19153,"Polk County, Iowa"
252,93533,19155,"Pottawattamie County, Iowa"
253,173283,19163,"Scott County, Iowa"
254,98105,19169,"Story County, Iowa"
255,102539,19193,"Woodbury County, Iowa"
256,66765,20015,"Butler County, Kansas"
257,121436,20045,"Douglas County, Kansas"
258,597555,20091,"Johnson County, Kansas"
259,81352,20103,"Leavenworth County, Kansas"
260,73703,20161,"Riley County, Kansas"
261,513607,20173,"Sedgwick County, Kansas"
262,177499,20177,"Shawnee County, Kansas"
263,165324,20209,"Wyandotte County, Kansas"
264,131533,21015,"Boone County, Kentucky"
265,81069,21029,"Bullitt County, Kentucky"
266,93152,21037,"Campbell County, Kentucky"
267,71671,21047,"Christian County, Kentucky"
268,101104,21059,"Daviess County, Kentucky"
269,323780,21067,"Fayette County, Kentucky"
270,110356,21093,"Hardin County, Kentucky"
271,770517,21111,"Jefferson County, Kentucky"
272,166051,21117,"Kenton County, Kentucky"
273,65346,21145,"McCracken County, Kentucky"
274,92368,21151,"Madison County, Kentucky"
275,66470,21185,"Oldham County, Kentucky"
276,131264,21227,"Warren County, Kentucky"
277,124672,22005,"Ascension Parish, Louisiana"
278,127185,22015,"Bossier Parish, Louisiana"
279,242922,22017,"Caddo Parish, Louisiana"
280,203112,22019,"Calcasieu Parish, Louisiana"
281,440956,22033,"East Baton Rouge Parish, Louisiana"
282,70941,22045,"Iberia Parish, Louisiana"
283,434051,22051,"Jefferson Parish, Louisiana"
284,242782,22055,"Lafayette Parish, Louisiana"
285,98115,22057,"Lafourche Parish, Louisiana"
286,139567,22063,"Livingston Parish, Louisiana"
287,391006,22071,"Orleans Parish, Louisiana"
288,154475,22073,"Ouachita Parish, Louisiana"
289,130562,22079,"Rapides Parish, Louisiana"
290,82764,22097,"St. Landry Parish, Louisiana"
291,258111,22103,"St. Tammany Parish, Louisiana"
292,133777,22105,"Tangipahoa Parish, Louisiana"
293,111021,22109,"Terrebonne Parish, Louisiana"
294,107679,23001,"Androscoggin County, Maine"
295,67111,23003,"Aroostook County, Maine"
296,293557,23005,"Cumberland County, Maine"
297,122083,23011,"Kennebec County, Maine"
298,151096,23019,"Penobscot County, Maine"
299,206229,23031,"York County, Maine"
300,70975,24001,"Allegany County, Maryland"
301,576031,24003,"Anne Arundel County, Maryland"
302,828431,24005,"Baltimore County, Maryland"
303,92003,24009,"Calvert County, Maryland"
304,168429,24013,"Carroll County, Maryland"
305,102826,24015,"Cecil County, Maryland"
306,161503,24017,"Charles County, Maryland"
307,255648,24021,"Frederick County, Maryland"
308,253956,24025,"Harford County, Maryland"
309,323196,24027,"Howard County, Maryland"
310,1052567,24031,"Montgomery County, Maryland"
311,909308,24033,"Prince George''s County, Maryland"
312,112664,24037,"St. Mary''s County, Maryland"
313,150926,24043,"Washington County, Maryland"
314,103195,24045,"Wicomico County, Maryland"
315,602495,24510,"Baltimore city, Maryland"
316,213413,25001,"Barnstable County, Massachusetts"
733,275910,48479,"Webb County, Texas"
317,126348,25003,"Berkshire County, Massachusetts"
318,564022,25005,"Bristol County, Massachusetts"
319,790638,25009,"Essex County, Massachusetts"
320,70963,25011,"Franklin County, Massachusetts"
321,470406,25013,"Hampden County, Massachusetts"
322,161355,25015,"Hampshire County, Massachusetts"
323,1614714,25017,"Middlesex County, Massachusetts"
324,705388,25021,"Norfolk County, Massachusetts"
325,518132,25023,"Plymouth County, Massachusetts"
326,807252,25025,"Suffolk County, Massachusetts"
327,830839,25027,"Worcester County, Massachusetts"
328,117327,26005,"Allegan County, Michigan"
329,103923,26017,"Bay County, Michigan"
330,154141,26021,"Berrien County, Michigan"
331,134487,26025,"Calhoun County, Michigan"
332,79332,26037,"Clinton County, Michigan"
333,109826,26045,"Eaton County, Michigan"
334,406892,26049,"Genesee County, Michigan"
335,92573,26055,"Grand Traverse County, Michigan"
336,292735,26065,"Ingham County, Michigan"
337,70562,26073,"Isabella County, Michigan"
338,158823,26075,"Jackson County, Michigan"
339,264870,26077,"Kalamazoo County, Michigan"
340,653786,26081,"Kent County, Michigan"
341,88028,26087,"Lapeer County, Michigan"
342,98266,26091,"Lenawee County, Michigan"
343,191224,26093,"Livingston County, Michigan"
344,874759,26099,"Macomb County, Michigan"
345,66516,26103,"Marquette County, Michigan"
346,83209,26111,"Midland County, Michigan"
347,150439,26115,"Monroe County, Michigan"
348,173588,26121,"Muskegon County, Michigan"
349,1259201,26125,"Oakland County, Michigan"
350,290494,26139,"Ottawa County, Michigan"
351,190800,26145,"Saginaw County, Michigan"
352,159337,26147,"St. Clair County, Michigan"
353,68192,26155,"Shiawassee County, Michigan"
354,75448,26159,"Van Buren County, Michigan"
355,370963,26161,"Washtenaw County, Michigan"
356,1753893,26163,"Wayne County, Michigan"
357,353813,27003,"Anoka County, Minnesota"
358,67427,27013,"Blue Earth County, Minnesota"
359,103551,27019,"Carver County, Minnesota"
360,425423,27037,"Dakota County, Minnesota"
361,1259428,27053,"Hennepin County, Minnesota"
362,156277,27109,"Olmsted County, Minnesota"
363,550210,27123,"Ramsey County, Minnesota"
364,66523,27131,"Rice County, Minnesota"
365,199754,27137,"St. Louis County, Minnesota"
366,147381,27139,"Scott County, Minnesota"
367,96036,27141,"Sherburne County, Minnesota"
