total,less_10000_total,less_10000_internet,less_10000_none,_10000_19900_total,_10000_19900_internet,_10000_19900_none,_20000_34999_total,_20000_34999_internet,_20000_34999_none,_35000_49999_total,_35000_49999_internet,_35000_49999_none,_50000_74900_total,_50000_74900_internet,_50000_74900_none,greater_75000_total,greater_75000_internet,greater_75000_none,id,geographic_area_name
43496,2622,1401,1221,2739,983,1756,5264,4473,791,6638,6012,626,8318,7508,810,17915,16779,1136,5125,"Saline County, Arkansas"
51739,3099,2218,881,6199,4132,2067,10678,7470,3208,7960,6264,1696,8680,7732,948,15123,13811,1312,5131,"Sebastian County, Arkansas"
90001,7283,4443,2840,9237,6713,2524,13718,9255,4463,14326,12219,2107,17112,14395,2717,28325,26520,1805,5143,"Washington County, Arkansas"
29577,2667,1291,1376,3942,2161,1781,5647,3760,1887,4385,3601,784,5324,4914,410,7612,7472,140,5145,"White County, Arkansas"
107929,4646,3206,1440,6666,4773,1893,11396,9522,1874,11786,10033,1753,18333,16488,1845,55102,53334,1768,8123,"Weld County, Colorado"
128140,3042,2367,675,6589,4056,2533,10201,7916,2285,13777,12136,1641,22361,20987,1374,72170,70173,1997,27003,"Anoka County, Minnesota"
301668,21035,13476,7559,30153,19524,10629,43168,33790,9378,35387,30997,4390,50406,46775,3631,121519,117866,3653,36055,"Monroe County, New York"
575410,24297,17039,7258,30240,20763,9477,45760,36232,9528,43093,36197,6896,75744,69046,6698,356276,347576,8700,6001,"Alameda County, California"
88636,5928,4683,1245,11394,7479,3915,14458,12323,2135,11353,9840,1513,14598,13493,1105,30905,29650,1255,6007,"Butte County, California"
396133,12542,9804,2738,19757,13707,6050,30216,25028,5188,33193,29680,3513,49744,45671,4073,250681,243849,6832,6013,"Contra Costa County, California"
72774,3406,2790,616,4105,2715,1390,7712,6156,1556,6092,5415,677,10848,9685,1163,40611,38855,1756,6017,"El Dorado County, California"
309519,20872,13235,7637,33401,19001,14400,51728,38449,13279,41520,33727,7793,53981,47522,6459,108017,100054,7963,6019,"Fresno County, California"
55773,3235,2682,553,7659,5209,2450,9676,8548,1128,7100,5728,1372,11658,10997,661,16445,15493,952,6023,"Humboldt County, California"
41764,3998,3210,788,5885,3760,2125,5662,4636,1026,5571,5171,400,7105,6426,679,13543,12786,757,6025,"Imperial County, California"
273167,21121,13214,7907,30161,19681,10480,44237,33832,10405,36733,31215,5518,47482,43282,4200,93433,89387,4046,6029,"Kern County, California"
43727,2901,1901,1000,3084,1636,1448,5349,4365,984,5671,4782,889,10238,8730,1508,16484,15356,1128,6031,"Kings County, California"
26774,1584,1258,326,3144,2409,735,4749,3190,1559,4198,3236,962,5264,3908,1356,7835,7214,621,6033,"Lake County, California"
3313908,198451,130382,68069,282223,175665,106558,399656,308872,90784,370725,315148,55577,537381,483432,53949,1525472,1454293,71179,6037,"Los Angeles County, California"
44484,2315,1337,978,4478,3420,1058,5595,4632,963,7284,6662,622,9685,8459,1226,15127,14438,689,6039,"Madera County, California"
104954,3381,3224,157,4936,3480,1456,5875,4840,1035,7027,6380,647,11540,10605,935,72195,70365,1830,6041,"Marin County, California"
33794,1447,1027,420,4963,3912,1051,4817,3756,1061,5014,4150,864,7239,6311,928,10314,9668,646,6045,"Mendocino County, California"
79487,5086,3999,1087,7877,5435,2442,12401,10315,2086,9899,8608,1291,14350,13666,684,29874,27894,1980,6047,"Merced County, California"
126299,4412,3548,864,8180,5594,2586,15518,12098,3420,14379,12107,2272,24000,20653,3347,59810,56498,3312,6053,"Monterey County, California"
47315,1543,1185,358,2374,1897,477,5177,3873,1304,3974,3461,513,7511,6917,594,26736,26155,581,6055,"Napa County, California"
41447,1920,1374,546,4201,2574,1627,5031,4141,890,5229,4934,295,5939,5451,488,19127,18118,1009,6057,"Nevada County, California"
1040394,47197,37682,9515,54746,39881,14865,93970,76935,17035,91982,83349,8633,152435,141033,11402,600064,580825,19239,6059,"Orange County, California"
144691,5754,3943,1811,7995,5253,2742,16466,12645,3821,12360,10847,1513,20294,19109,1185,81822,79549,2273,6061,"Placer County, California"
728103,42146,32563,9583,57285,42439,14846,96928,77169,19759,82796,74006,8790,124204,113048,11156,324744,309437,15307,6065,"Riverside County, California"
543560,28891,22069,6822,44645,32238,12407,62840,50985,11855,62056,56387,5669,92332,87283,5049,252796,244048,8748,6067,"Sacramento County, California"
638647,33089,22407,10682,55286,35425,19861,84385,64268,20117,74761,62684,12077,117125,103942,13183,274001,261186,12815,6071,"San Bernardino County, California"
1130911,48592,39605,8987,72645,52135,20510,119013,100852,18161,119170,107956,11214,181317,170297,11020,590174,573302,16872,6073,"San Diego County, California"
362827,19249,12355,6894,25750,14202,11548,29312,21928,7384,23032,19352,3680,36650,33268,3382,228834,222722,6112,6075,"San Francisco County, California"
231917,10934,6647,4287,20334,13050,7284,30953,22972,7981,27838,23266,4572,41781,36830,4951,100077,95228,4849,6077,"San Joaquin County, California"
