id,total,i_under_050,i_050_074,i_075_099,i_100_124,i_125_149,i_150_174,i_175_184,i_185_199,i_200_299,i_300_399,i_400_499,i_500_over
6053,92949,2381,3011,4412,3415,3218,4528,1271,2174,17246,13081,9124,29088
6055,33064,539,652,1005,869,553,1590,754,736,3792,3607,2783,16184
6057,25779,531,470,317,777,829,589,570,275,3503,3061,2443,12414
6059,735186,24678,12936,15811,22257,21348,25084,8091,12250,85736,80213,72934,353848
6061,99968,2691,1334,1683,1398,1516,3115,1227,1786,11134,11686,10144,52254
6065,524194,18653,11914,18825,22513,18335,20858,11923,13664,86342,77732,56906,166529
6067,359266,15718,8963,11671,13330,14394,14806,5558,6941,47727,46751,40331,133076
6071,486914,24225,14526,18439,23374,23747,21303,10895,12172,84791,68740,51286,133416
6073,761247,24704,13425,19188,26797,25002,27839,11073,14605,101841,91966,77212,327595
6075,178643,4141,2229,2744,5943,4154,3619,1471,2413,16912,14857,12896,107264
6077,174492,7737,5008,7693,9694,7645,6815,3858,4790,30183,22974,20110,47985
6079,67284,2502,1048,1304,1344,1205,2431,826,1618,9340,7515,7197,30954
6081,182198,3063,1927,3048,3103,3859,2783,1592,1928,12599,15216,16158,116922
6083,100497,2362,2240,2429,4502,3702,4075,2311,2281,15183,10510,10397,40505
6085,461799,7504,5409,5849,10551,8826,7249,3744,5397,40137,38828,37229,291076
6087,62397,1740,799,1886,985,1715,2761,1032,1491,5406,6810,4191,33581
6089,45982,2057,925,1400,1814,1381,1597,1303,1001,8557,6941,4417,14589
6095,108587,2714,1350,1740,3074,3289,1634,1910,2327,16509,13603,12176,48261
6097,118022,3931,923,1580,3223,3404,2720,1291,1941,13240,14123,13061,58585
6099,128261,5437,3577,6138,6242,6340,7854,3064,2648,23294,17753,12007,33907
6101,23427,825,682,1146,944,885,1026,263,909,4397,3594,2668,6088
6107,103190,7739,5361,5277,7157,6148,5112,2496,2301,17685,12605,9410,21899
6111,194306,4545,3488,3871,7389,5148,8085,2084,3624,25877,24528,20790,84877
6113,46437,2441,882,1920,1453,1582,1192,279,859,6086,5345,5617,18781
6115,17889,887,468,577,1192,635,904,284,310,4506,2617,1375,4134
8001,118115,3898,1255,2500,4023,5477,4427,2650,1667,20848,17538,16448,37384
8005,158118,4063,2093,2772,3150,4580,4566,2397,4339,20291,19316,18371,72180
8013,74769,1055,883,1090,1622,1296,958,733,1252,6883,8404,8370,42223
8014,18556,160,439,156,94,769,344,42,113,1367,1734,1875,11463
8031,145101,4750,3795,3170,3922,5638,5922,2382,3090,17528,16213,14825,63866
8035,95944,699,342,228,591,423,1173,447,825,7700,8447,10845,64224
8041,176041,4916,3781,3351,5628,4980,6334,3013,3331,29232,26631,21138,63706
8059,148258,2219,1160,1833,2068,3012,3309,947,2628,14741,17284,18228,80829
8069,85701,2431,824,1379,1205,1530,2007,1281,1125,12381,11886,11993,37659
8077,37310,2082,1496,642,1272,1957,1084,506,788,6228,7402,3491,10362
8101,41603,2001,1497,2315,1797,1766,2584,511,1722,7761,5221,4991,9437
8123,77930,2885,2000,1292,2206,2158,1912,608,1327,10739,13616,9698,29489
9001,237407,6294,4785,5352,5542,5939,5963,2455,4029,25214,22561,17730,131543
9003,223589,6417,4549,5244,7507,7346,7529,2867,3521,24076,24889,23552,106092
9005,46847,463,385,843,515,1560,1580,416,878,5506,5634,5699,23368
9007,41772,763,478,459,349,923,668,277,582,4443,4423,4950,23457
9009,207727,7322,5667,5026,5158,6000,6777,2336,3443,26248,24806,22595,92349
