id,total
45015,221091
45019,405905
45031,66802
45035,160647
45041,138159
45045,514213
45047,70741
45051,344147
45055,65592
45057,95380
45059,66994
45063,295032
45073,78374
45075,86934
45077,124937
45079,414576
45083,313888
45085,106512
45091,274118
46099,192876
46103,111729
47001,76482
47009,131349
47011,106727
47037,692587
47059,69087
47065,364286
47093,465289
47113,97605
47119,94340
47125,205950
47141,78843
47147,71012
47149,324890
47155,97892
47157,935764
47163,157668
47165,187149
47179,128607
47187,231729
47189,140625
48005,87092
48021,86976
48027,355642
48029,1986049
48037,94324
48039,370200
48041,226758
48061,423908
48085,1005146
48091,148373
48099,74808
48113,2637772
48121,859064
48135,162124
48139,179436
48141,840758
48157,787858
48167,337890
48181,133991
48183,123707
48187,163694
48201,4698619
48203,66726
48209,222631
48213,82299
48215,865939
48231,96493
48245,255001
48251,171361
48257,128622
48291,86323
48303,307412
48309,254607
48329,172578
48339,590925
48347,65711
48355,362265
48361,83572
48367,138371
48375,119648
48381,136271
48397,100657
48409,66893
48423,230221
48439,2084931
48441,137640
48451,118189
48453,1248743
48469,92035
48471,72480
48479,275910
48485,132064
48491,566719
48497,68305
49005,127068
49011,351713
49035,1152633
49045,69907
49049,622213
49053,171700
49057,256359
50007,164572
51003,108718
51013,237521
51015,75457
51019,78747
51041,348556
51059,1150795
51061,70675
51069,88355
51085,107239
51087,329261
51095,76397
51107,406850
51121,98985
51153,468011
51161,94073
51165,81244
51177,134238
51179,149960
51199,67846
51510,160530
51550,242634
51650,134313
51680,82126
51700,178626
51710,244076
51740,94632
51760,228783
51770,99920
51800,91185
51810,450189
53005,201877
53007,77036
53009,76737
53011,481857
53015,108987
53021,94347
53025,97331
53027,73901
53029,84460
53033,2233163
53035,269805
53041,79604
53045,65507
53053,891299
53057,128206
53061,814901
53063,514631
53067,286419
53073,225685
53077,251446
54003,117123
54011,93224
54033,67554
54039,180454
54061,106420
54081,74254
54107,84203
55009,263378
55025,542364
55027,87847
55035,104534
55039,103066
55055,85129
55059,169290
55063,118230
55071,79074
55073,135428
55079,948201
55087,187365
55089,89147
55097,70942
55101,196584
55105,163129
55109,89694
55117,115456
55127,103718
55131,135693
55133,403072
55139,171020
55141,73055
56021,98976
56025,79115
72013,82114
72021,170480
72025,124434
72031,147661
72061,83787
72097,71986
72113,133191
72127,320967
72135,71094
72137,74623
72139,63746
