id,no_internet,has_internet
42001,1662,33776
42003,24502,468246
42005,1913,21392
42007,4435,60715
42011,10791,130044
42013,3335,41228
42017,9313,215113
42019,3148,66761
42021,3694,43580
42025,1582,20630
42027,4478,49543
42029,8220,173371
42033,2629,24989
42037,2087,21017
42039,2117,28417
42041,5310,88332
42043,7514,92835
42045,10312,182023
42049,6949,92277
42051,3562,43015
42055,4368,48219
42063,2131,26035
42069,4483,73571
42071,14864,163720
42073,2116,31022
42075,1457,46913
42077,8136,117614
42079,7014,104568
42081,3017,36551
42085,2384,37648
42089,3103,48039
42091,11450,285828
42095,7358,96318
42097,2126,30176
42101,55911,479644
42107,4135,44681
42111,2106,21232
42125,3989,72480
42129,8459,125661
42133,12565,145312
44003,3936,58714
44005,1580,30156
44007,14096,193538
44009,1226,44198
45003,5321,56420
45007,7510,63286
45013,4167,66924
45015,7868,64936
45019,17561,133523
45031,4084,15688
45035,5230,48345
45041,7918,36235
45045,10924,165660
45047,2549,20983
45051,12314,110070
45055,1446,21068
45057,2479,30337
45059,2120,18736
45063,6200,100003
45073,3582,23244
45075,4393,24113
45077,5109,37839
45079,15253,128733
45083,9482,94016
45085,3599,31753
45091,5623,88952
46099,5647,65721
46103,3866,37107
47001,1840,24989
47009,4366,41948
47011,2627,32075
47037,13356,253358
47059,2514,21332
47065,8292,124296
47093,14483,155521
47113,2620,32866
47119,2455,29015
47125,3447,66432
47141,3132,27272
47147,1485,22752
47149,6634,103341
47155,3064,29987
47157,31832,267497
47163,5283,51522
47165,3150,60564
47179,4651,44332
47187,1782,76653
47189,4502,44720
48005,1533,25772
48021,1499,21117
48027,7580,106354
48029,68335,531489
48037,3209,25553
48039,4807,107914
48041,9742,67839
48061,35195,68278
48085,15918,323319
48091,2330,47693
48099,1274,18142
48113,88022,769794
48121,12840,278757
48135,5408,44882
48139,2557,53993
48141,30490,212363
48157,10305,228105
48167,7267,106649
48181,10754,34484
48183,3638,37492
48187,2769,48480
48201,119413,1374911
48203,5201,14703
48209,5883,66294
48213,1945,24659
48215,39461,159861
48231,3588,28020
48245,11354,70166
48251,2901,53052
48257,4145,31370
48291,1859,21422
48303,13342,94074
48309,8217,73332
48329,5047,49309
48339,9936,185716
48347,2084,18416
48355,8440,108313
48361,1384,25591
48367,4744,39145
48375,6211,34787
48381,2664,44947
48397,728,33197
48409,2373,16756
48423,7421,65483
48439,40555,652702
48441,4586,41157
48451,5538,34225
48453,27508,443646
48469,5302,22035
48471,1880,18789
48479,11475,53195
48485,4635,37681
48491,7757,172962
48497,2868,18628
49005,3093,34836
49011,5228,97013
49035,21756,345629
49045,802,18624
49049,14467,153598
49053,3973,53229
49057,4179,77286
50007,6315,56143
51003,2632,37238
51013,4298,100338
51015,3324,22983
51019,1979,26414
51041,4532,116053
51059,8936,377574
51061,761,23269
51069,1904,26796
51085,2275,35167
51087,6079,114881
51095,4071,24721
51107,3332,127211
51121,1835,30085
51153,2956,137636
51161,2868,31855
51165,2986,24921
51177,2559,41090
51179,1056,46330
51199,1946,21465
51510,1699,65929
51550,3009,78621
51650,7559,42262
51680,1776,23744
51700,19658,45217
51710,6965,75774
51740,2622,28646
51760,10976,71145
51770,4444,30252
51800,3395,28220
51810,8053,156989
53005,5792,61992
53007,3097,26282
53009,736,29214
53011,6668,164085
53015,3446,35998
53021,1208,24546
53025,1424,26666
53027,1890,23127
53029,1273,31566
53033,34892,826157
53035,3430,97414
53041,1915,25923
53045,1209,22840
53053,20539,291466
53057,2171,43445
53061,11780,278228
53063,9202,183633
53067,5982,98005
53073,6138,75504
53077,6542,69429
54003,4064,37859
54011,3932,29944
54033,2893,20687
54039,7673,61736
54061,2009,36382
54081,3271,22400
54107,2974,28432
55009,5906,89632
55025,13512,202238
55027,1413,30189
55035,1855,35739
55039,2271,33547
